gene,p,mean
MIEF1,1.8087417725620928e-06,-0.49572835316269903
MFN2,1.816022425738616e-06,-0.4850976988073843
TMEM98,1.816022425738616e-06,-0.5612497010429812
ACSF3,1.8463031068322142e-06,-0.4963252456790419
ZFP91,1.9566009781848137e-06,-0.5403335784395735
TBXA2R,2.1872396509408817e-06,0.5046547294374545
SLC40A1,2.2558895019926123e-06,0.46173802627743454
AMPD3,2.2979284935673113e-06,0.6027877183857756
CFAP36,2.360194686259064e-06,0.5330499365850536
BCAT2,2.443866886737389e-06,-0.4675813549019644
HCFC1,2.5423110560883312e-06,-0.4942258394774274
PPIL3,2.5731331694372637e-06,0.5654757976361107
DOCK7,2.6609254949006024e-06,-0.5379881760324294
PGBD5,2.808465475220082e-06,-0.48017129377479917
COASY,3.1985838755516046e-06,-0.44918956669474297
RB1,3.275619543854595e-06,0.4805935146482675
ERCC6L2,3.2773300205695547e-06,-0.4917393066401371
PDZK1IP1,3.2773300205695547e-06,0.6162795036355835
GAS6,3.622362575760408e-06,-0.48026694202569864
NABP1,3.6552842106729703e-06,0.42659168828310645
FLII,3.7447758015986777e-06,-0.5487867731525841
TMX2,3.882962012932334e-06,-0.46240187517430237
UBE2L6,3.930037012115635e-06,0.4311768110493794
RBP7,4.195793619141092e-06,0.532618185833603
BLTP2,4.327463159853469e-06,-0.44502814607135793
S100Z,4.3298091517262895e-06,0.5438003215625546
FLYWCH2,4.4326614958281396e-06,-0.43709061058203996
KYNU,4.937018113847613e-06,0.5347394762317935
CDK12,5.010735424834983e-06,-0.5145531800726232
VIL1,5.086708162754201e-06,-0.630855172429404
CYSLTR1,5.280762684273286e-06,0.5609185371757222
ANP32D,5.334562274929945e-06,-0.46686997535001523
SNX27,5.367058388608169e-06,-0.4610117238203864
C4BPA,5.367058388608169e-06,0.8463956453163939
ZNF787,5.695805596351228e-06,-0.4929083204045338
TMEM132A,5.867346088512711e-06,0.7301795714378544
DOHH,5.934197317987818e-06,-0.5145152153615155
VPS35L,6.1887021153206645e-06,-0.5536556494606663
MEF2A,6.2284334024340495e-06,0.4712019053219876
SLC25A11,6.3368499285568106e-06,-0.42021665189308377
PCED1B,6.488337334086416e-06,0.549289544520634
MKI67,6.642297873308817e-06,-0.5147833816987172
TACO1,6.643388614712872e-06,-0.4894641559283433
HP,6.9231481995044385e-06,0.49344312220253317
LASP1,7.3420155814292135e-06,-0.474422762101798
AFG3L2,7.561241826402325e-06,-0.4755559650030604
MED9,7.561241826402325e-06,-0.4534455872296834
HPSE,7.561241826402325e-06,0.48674172421961637
TFDP1,7.670085324055217e-06,-0.471849062013306
LAMP1,7.716519428417643e-06,-0.5323349567074281
CYRIA,7.74065806403897e-06,0.505879447652188
AAMP,7.855876617587824e-06,-0.5134240517816233
SEC16A,8.303654839247341e-06,-0.44478307565823944
GBA2,8.303654839247341e-06,-0.4409575763253598
DNAJC11,8.499803007852298e-06,-0.5003413438475768
MBNL1,8.499867172740968e-06,-0.4519920665659042
MGAT4B,8.811222606965168e-06,-0.4071108903182771
AKT1,8.905666310673898e-06,-0.4361904728179973
DDX6,9.075614957569097e-06,-0.503506560062904
HMGN3,9.222095955224117e-06,0.4675020134166166
BHLHE40,9.329939056431636e-06,0.6517843159031942
TBC1D22B,9.438986378542023e-06,-0.5241012283446241
THOC5,9.549250676223155e-06,-0.421840859264002
LARP1,9.595234785024398e-06,-0.46145534225920987
CHI3L1,9.773481853036897e-06,0.5725099226085254
TBL3,1.0002737184976044e-05,-0.44672858079112554
AGPAT4,1.1358324173390614e-05,0.49952672929126735
