gene,mean,count,downregulated
GALNT2,3.108589730767878e-07,5,0
CES2,3.1287874805301504e-07,5,5
PHLDA1,3.1383378885119434e-07,5,0
LRP8,3.1460562502471393e-07,5,0
ARMCX3,3.156072781694331e-07,5,0
PCK1,3.173360835785953e-07,5,5
ROGDI,3.183584042059473e-07,5,5
PRDM1,3.1837511835377887e-07,5,0
HSD17B11,3.1839935083842653e-07,5,5
CFAP36,3.1911153292478623e-07,5,0
THBD,3.1947895962782467e-07,5,0
SLC16A14,3.2014788930319776e-07,5,0
ABAT,3.211102950355496e-07,5,5
DEPDC7,3.2153872764520987e-07,5,5
NUCB2,3.215768030876732e-07,5,0
ANXA1,3.224720192188074e-07,5,0
FASTKD1,3.228828944432462e-07,5,5
NNMT,3.243726695533606e-07,5,0
PDZK1IP1,3.260381426892685e-07,5,0
ABCB1,3.3641404697234416e-07,5,5
PRAF2,3.375308828228153e-07,5,0
FCGR3B,3.4057056252057365e-07,5,0
ABCD3,3.4175665916354127e-07,5,5
PF4,3.418598246011216e-07,5,0
PRAG1,3.429373621163055e-07,5,5
ANGPTL2,3.4376847806679463e-07,5,0
KCND3,3.4394782567413664e-07,5,0
NAAA,3.467934349434905e-07,5,5
USP30,3.471943924440703e-07,5,5
SLC23A3,3.4817086048738183e-07,5,5
BDH2,3.49760124535613e-07,5,5
BMAL2,3.5148470830833667e-07,5,0
HADHB,3.514854083334122e-07,5,5
NAALADL1,3.5289586411629526e-07,5,5
CDV3,3.5340660003973594e-07,5,0
PJA1,3.536691830704976e-07,5,0
RNF135,3.5615255687268304e-07,5,5
CDH3,3.5659691403350384e-07,5,0
CLYBL,3.573752855887943e-07,5,5
A1CF,3.58792130901204e-07,5,5
NAT8B,3.5894963986552265e-07,5,5
MTCL1,3.589617336189045e-07,5,0
STEAP4,3.6351136712829197e-07,5,0
RNF5,3.6451529657724567e-07,5,5
CARD6,3.6504713599895925e-07,5,0
MSANTD3,3.658197905458278e-07,5,0
PLA2G12B,3.675583052571332e-07,5,5
TLCD4,3.68478812374932e-07,5,5
PTGS2,3.7359236792168763e-07,5,0
EDN3,3.737899762171947e-07,5,5
IFITM1,3.758655907989647e-07,5,0
PDIA6,3.760826803730516e-07,5,0
TP53TG1,3.777104343846351e-07,5,5
GRHL1,3.789935643977253e-07,5,0
CLEC14A,3.836140464283637e-07,5,0
SFXN1,3.8365497938646363e-07,5,5
ZFP91,3.8393628959961274e-07,5,5
FGR,3.8439062467746654e-07,5,0
RETSAT,3.8663424524291153e-07,5,5
MTARC2,3.876891392027154e-07,5,5
ABCA12,3.893242764200666e-07,5,0
CDC25B,3.8935351123756686e-07,5,0
CLDN1,3.914309511045581e-07,5,0
ANK3,3.916650400694315e-07,5,5
IL1A,3.919929124260415e-07,5,0
CNKSR3,3.9306406131285476e-07,5,5
BTN3A3,3.946589399439262e-07,5,0
ENG,3.9509348250096515e-07,5,0
TRIM22,3.9664040610619027e-07,5,0
HCAR3,3.967777982360965e-07,5,0
C2orf88,3.971970097317714e-07,5,5
FMO5,4.000652693291799e-07,5,5
LEAP2,4.050104821681216e-07,5,5
TRIM36,4.0600529433882975e-07,5,5
ZNF91,4.09589776535086e-07,5,5
PML,4.1066057764978346e-07,5,0
CATSPERB,4.1188695563856547e-07,5,0
CSF3R,4.1454385852980944e-07,5,0
TNFRSF10A,4.2265573609597804e-07,5,0
PGRMC1,4.268391994546466e-07,5,5
CXCR2,4.3346489662364324e-07,5,0
SERPINA3,4.3348961401838625e-07,5,0
SSR4,4.4185851850329505e-07,5,0
KRT6B,4.435986943545431e-07,5,0
MMUT,4.527479281999154e-07,5,5
AAMDC,4.571648734860796e-07,5,5
SOCS1,4.5928156141832095e-07,5,0
VPS13A,4.6372714606999913e-07,5,5
GUCY2C,4.898265517315272e-07,5,5
MMP12,4.912673648900873e-07,5,0
MATCAP2,4.968735216702764e-07,5,0
LPCAT3,5.215797441465509e-07,5,5
S100A2,5.256289930711385e-07,5,0
AP1AR,5.393729305690104e-07,5,5
ART3,5.415316802841213e-07,5,0
ACOX2,5.67161157140864e-07,5,5
ENC1,5.693229609924852e-07,5,0
TMEM37,5.698708048231112e-07,5,5
SGIP1,5.72457696085022e-07,5,0
PDIA4,5.729870185335773e-07,5,0
EPHA2,5.981417195857421e-07,5,0
ATP2B1,6.155079435638831e-07,5,5
NHERF1,6.220716039338633e-07,5,5
NDUFA5,6.25522684504637e-07,5,5
MLKL,6.308597907623105e-07,5,0
C11orf54,6.435421368636781e-07,5,5
AQP7,6.515033452295854e-07,5,5
CD2AP,6.515267395082875e-07,5,5
DOCK4,7.0641408171497e-07,5,0
KCNK6,7.494862789019017e-07,5,0
TFF2,9.107915672552132e-07,5,0
PTGR3,2.7345970472277777e-12,4,4
MKKS,3.674617765760171e-12,4,4
SPHK2,2.1928123428680043e-11,4,4
ASTE1,6.765407630516066e-11,4,4
HOXA2,8.138197572348606e-11,4,4
STON2,9.649690708075491e-11,4,4
ALDH5A1,1.3837460853983643e-10,4,4
TRIM29,1.69832357104268e-10,4,0
HOXA5,1.852803984084913e-10,4,4
PBLD,2.062443882886002e-10,4,4
MCRIP2,2.170065160635773e-10,4,4
AGBL2,2.8810392337109865e-10,4,4
DRAM1,4.428121621395875e-10,4,0
XBP1,4.933251049413033e-10,4,0
CYTOR,4.939882773797714e-10,4,0
MOCS1,5.355276768540315e-10,4,4
PSKH1,5.669977940810917e-10,4,4
ZSWIM3,7.808883480713566e-10,4,4
ADIRF,9.48499865482031e-10,4,4
TGFBI,9.637979475534494e-10,4,0
GCNT2,9.777679915993578e-10,4,4
LAMC1,9.926731749925178e-10,4,0
ADPRHL1,1.0864866992843606e-09,4,4
DPP10-AS1,1.1033896683912485e-09,4,4
MAP3K5,1.1632835682196152e-09,4,0
COL6A3,1.5843650971464668e-09,4,0
ZNF564,1.6595177732727069e-09,4,4
F3,1.7602563284843345e-09,4,0
DUSP10,2.069383566542221e-09,4,0
AGTRAP,2.1257475903121563e-09,4,0
ME2,2.1809968765924907e-09,4,4
RAB36,2.202005594678796e-09,4,0
SPARC,2.88896091783377e-09,4,0
TMTC1,3.2116445566868984e-09,4,0
C1RL,3.74447349425859e-09,4,0
TMEM80,3.861799006503951e-09,4,4
ETFDH,3.932768420436261e-09,4,4
PTGR1,4.0059431055199455e-09,4,4
P2RY1,4.458439935256495e-09,4,4
PLA2G12A,4.585548790355583e-09,4,4
KLB,4.80922155182978e-09,4,4
FOXQ1,5.162123350588649e-09,4,0
ZNF3,5.5690823555435964e-09,4,4
PALLD,5.593762984150179e-09,4,0
PRSS22,5.889965755902644e-09,4,0
GRAMD1C,6.005214572631175e-09,4,4
CCL11,6.170398827178336e-09,4,0
CYP2B6,6.653070749950432e-09,4,4
RAB40C,7.2430388357242315e-09,4,4
CPT1A,7.3369452921141586e-09,4,4
KCNV1,7.461165897790542e-09,4,4
ACSL4,7.675209903931917e-09,4,0
F2RL2,8.724914055202715e-09,4,0
DOCK1,9.094960450591652e-09,4,4
PDLIM1,9.48892857543719e-09,4,4
EPB41L4B,1.0399403436113366e-08,4,4
AKAP1,1.0455309604050511e-08,4,4
RNF157,1.0491890394449312e-08,4,4
JAK2,1.0925773675766649e-08,4,0
CCDC115,1.1097943428887142e-08,4,4
BPHL,1.1284234948357558e-08,4,4
MYO1D,1.1492567740435705e-08,4,4
TMEM39A,1.2164193422846242e-08,4,0
HM13,1.2295603225721723e-08,4,0
SNX15,1.2645117062907616e-08,4,4
FOXP2,1.2679488540926178e-08,4,4
STRADB,1.2997008988344359e-08,4,4
TCTN1,1.3177435811255875e-08,4,0
AGMAT,1.3440169395617992e-08,4,4
CLCF1,1.3495445296295585e-08,4,0
SUGCT,1.3564204867761913e-08,4,4
CAMK2N1,1.3798505687636829e-08,4,4
C6orf136,1.414276801568085e-08,4,4
COL1A2,1.4814828186551855e-08,4,0
NCKAP5,1.492779716114445e-08,4,4
CEBPB,1.5359699492988647e-08,4,0
RILPL2,1.554823333562201e-08,4,0
SH3TC2,1.579108992408204e-08,4,0
PHYH,1.589146014684008e-08,4,4
SLC35D2,1.591574745557968e-08,4,4
TMEM209,1.648113494744316e-08,4,4
MIEF1,1.6680983581371542e-08,4,4
DOLPP1,1.6730036146988833e-08,4,4
GSTM4,1.6744560359806282e-08,4,4
DUSP7,1.6749029481885368e-08,4,0
TINAG,1.6762839550901945e-08,4,4
CHKA,1.678010079265485e-08,4,4
BMP3,1.6911646368720505e-08,4,4
B9D1,1.7307967208013317e-08,4,0
AUH,1.7457974969299465e-08,4,4
FZD5,1.7602239363476056e-08,4,4
NR5A2,1.77996218376247e-08,4,4
FCGRT,1.7827460363195276e-08,4,4
RAPGEFL1,1.794007386955515e-08,4,4
FSTL1,1.808618176014443e-08,4,0
HSPA5,1.8146880047301154e-08,4,0
CYP4X1,1.8338105789044832e-08,4,0
C1orf210,1.835660952149666e-08,4,4
ACVR1,1.8786213988549993e-08,4,0
SDHD,1.9216568867686285e-08,4,4
ZNF57,1.926061756213548e-08,4,4
DCPS,2.003013819149193e-08,4,0
INPP5J,2.0262931125296543e-08,4,4
MMP14,2.044574733606974e-08,4,0
ERCC6L2,2.059605598300018e-08,4,4
IDH3B,2.0643520016929057e-08,4,4
B3GNT8,2.1489216024550113e-08,4,4
SUOX,2.1612209120648116e-08,4,4
TRPV1,2.1741293354321565e-08,4,4
CPT2,2.1765516276978297e-08,4,4
FAAH,2.1798914969187527e-08,4,4
HYI,2.1912654855931943e-08,4,4
FBN1,2.218625002028405e-08,4,0
ZNF124,2.2353175268128234e-08,4,4
PRR15,2.2374451367683414e-08,4,4
TNFSF13,2.2436228999034545e-08,4,0
ABCB10,2.2683876834800766e-08,4,4
NAT8,2.2741529638412413e-08,4,4
PUM2,2.3015315827256434e-08,4,4
MIER2,2.373920502191779e-08,4,0
RAB31,2.4191857969516704e-08,4,0
STBD1,2.4552793782437856e-08,4,4
ZNF608,2.45721720994178e-08,4,4
STAP2,2.5298799124456883e-08,4,4
CFB,2.536668759877215e-08,4,0
PLXND1,2.5444639142591298e-08,4,0
ELK3,2.559331669974725e-08,4,0
NEBL,2.5784070420359195e-08,4,0
GRAMD2B,2.5930475334699157e-08,4,4
PPARGC1A,2.6034325208527886e-08,4,4
HOMER1,2.621606289684068e-08,4,0
SLCO4A1,2.6281245241181423e-08,4,0
CNTFR,2.635247328663774e-08,4,4
GARS1,2.7102322743538895e-08,4,0
CCN1,2.735553203037287e-08,4,0
ADH1C,2.776112934208052e-08,4,4
GZMB,2.7868139446371652e-08,4,0
TRERF1,2.826574531886985e-08,4,0
SLC25A23,2.839443658770242e-08,4,4
PEA15,2.8421684451626314e-08,4,0
VWF,2.8471884034017506e-08,4,0
IKBIP,2.8553446681702605e-08,4,0
SOS2,2.8781646111690296e-08,4,4
SOCS3,2.8875752372577415e-08,4,0
DYRK2,2.888446431741669e-08,4,4
PEX19,2.8890242086302023e-08,4,4
COL4A1,2.89528508882287e-08,4,0
OLFML2B,2.909657233109764e-08,4,0
TMEM45A,2.950858672369101e-08,4,0
OCRL,2.9582776126236724e-08,4,4
FRMD1,2.9687937958355825e-08,4,4
HTRA1,2.9728377546791592e-08,4,0
KDELR3,3.011090954417852e-08,4,0
SLC22A23,3.0174268739174944e-08,4,4
DYSF,3.0854538182090715e-08,4,0
ACOT8,3.0992364353768565e-08,4,4
PLEKHJ1,3.146666742579458e-08,4,4
COL15A1,3.177072247752288e-08,4,0
TMT1B,3.1792348950627144e-08,4,4
HSD17B2,3.179497915566401e-08,4,4
PDE4B,3.1961407752341544e-08,4,0
PSAT1,3.209540831488901e-08,4,0
IQGAP2,3.2101604362488793e-08,4,4
ZG16B,3.255041126420957e-08,4,0
P3H1,3.384488131863277e-08,4,0
PRDX4,3.397884743810677e-08,4,0
SLC41A1,3.497288142299629e-08,4,0
IFI16,3.512733785223054e-08,4,0
PLK2,3.5488852147521535e-08,4,0
FAM234A,3.5981115898343295e-08,4,4
LOXL2,3.598504629411987e-08,4,0
PLAU,3.6235386573866414e-08,4,0
CHAD,3.625670147644606e-08,4,4
ZC4H2,3.6257052278169625e-08,4,4
RDH5,3.663983085351278e-08,4,4
HAGH,3.75166701573746e-08,4,4
RILP,3.760599837726674e-08,4,4
ADH6,3.765044238237003e-08,4,4
OVOL1,3.7847506511333214e-08,4,4
MAD2L2,3.818353631900172e-08,4,0
RGCC,3.847491131818526e-08,4,0
CNN2,3.8503037564191864e-08,4,0
TNFAIP8,3.851076583165347e-08,4,0
PHF19,3.8867939700852165e-08,4,0
PHTF1,3.894456563826488e-08,4,0
OSBPL1A,3.8954164588113165e-08,4,4
PTPN13,3.9177069248547385e-08,4,0
CDH11,4.000067842426292e-08,4,0
ITGA5,4.123437135969672e-08,4,0
KLHDC2,4.159920607403671e-08,4,4
MMP19,4.1672625308188115e-08,4,0
SLC38A4,4.198624711923452e-08,4,4
WDR54,4.2016921659615866e-08,4,0
ADAMTS1,4.2336470997571984e-08,4,0
LIPC,4.2853001481740126e-08,4,4
PAM,4.3232876488336405e-08,4,0
LYPD6B,4.341294842507582e-08,4,0
SERF1B,4.397225644834645e-08,4,4
ERLIN2,4.4751491493194267e-08,4,4
CXCL11,4.571296067373959e-08,4,0
SLC17A9,4.574797013720237e-08,4,0
KLF2,4.580078287702573e-08,4,0
PACS1,4.617816630807085e-08,4,0
PECAM1,4.6475287934346744e-08,4,0
NUDT7,4.6947960152699915e-08,4,4
SIL1,4.7403159831066474e-08,4,0
NPY,4.794970359429563e-08,4,4
PLA2R1,4.858311991919977e-08,4,4
PEX26,4.885131225136088e-08,4,4
SLC38A5,5.043261156293404e-08,4,0
CPEB3,5.064171567349832e-08,4,4
PPIB,5.1713146676795784e-08,4,0
PSME4,5.192511707154454e-08,4,0
PPP2R3A,5.229363227096297e-08,4,4
SND1,5.251207855983104e-08,4,0
ENTPD5,5.267540097268647e-08,4,4
TSHZ1,5.3105944487925356e-08,4,4
GBP4,5.354213179081528e-08,4,0
MARCHF8,5.3968261733344984e-08,4,4
CCNO,5.403228765699008e-08,4,0
GJA1,5.408444426002758e-08,4,0
DGKD,5.465983649129799e-08,4,4
SERF1A,5.4710482474450166e-08,4,4
XYLT1,5.5954341588222664e-08,4,4
MANF,5.611660419277577e-08,4,0
AGPAT4-IT1,5.6271650581632514e-08,4,0
PXDN,5.633579212702949e-08,4,0
CYYR1,5.721480897313674e-08,4,0
OLFM4,5.787509834433568e-08,4,0
GFUS,5.795149236784522e-08,4,0
MRPS25,5.797735633777019e-08,4,4
MIGA2,5.811441118784746e-08,4,4
TMEM120A,5.928920186899064e-08,4,4
IGFBP5,5.960976035394974e-08,4,0
FCN3,5.971681208645825e-08,4,0
SERPINB3,6.109166721212433e-08,4,0
SDR42E1,6.147979915178562e-08,4,4
TPBG,6.19049771693485e-08,4,0
CAVIN1,6.192336343250655e-08,4,0
LRRC8D,6.337565090521453e-08,4,4
PLS3,6.353274424902265e-08,4,0
COL5A2,6.534114291687035e-08,4,0
CDK2AP1,6.71749390954984e-08,4,0
PROK2,6.948950034075526e-08,4,0
IQCN,6.975287898743321e-08,4,4
KCNK5,6.989753387909931e-08,4,4
KLK10,7.103934915468443e-08,4,0
MUC1,7.127369173189802e-08,4,0
CYP27A1,7.231105505605355e-08,4,4
MCAM,7.31887297500444e-08,4,0
