Gene,P-value
SHD,2.2509891826459613e-62
CNOT6L,4.979792443424302e-62
BST2,5.005083974855149e-62
JAK1,5.102928444317804e-62
CASP8,5.460979498263932e-62
SLC16A1,6.033821283841461e-62
PF4,8.470705226791663e-62
ID1,2.085925629515233e-61
EVI2B,2.1774392900621132e-61
ITGA6,2.2538048944290427e-61
MTDH,2.5547278960833818e-61
RAC2,3.322656176838856e-61
PSME2,3.588280538757815e-61
METTL9,5.729046294900864e-61
RPS29,7.218219213146367e-61
TRIM29,8.539802552888792e-61
BMP3,1.0566579421289821e-60
NDUFA2,1.270255621111073e-60
SLIRP,4.7276733891289824e-60
PIGZ,7.307332155748221e-60
GPBP1,1.3374997609104116e-59
TRIM22,1.6817879197870064e-59
MSI2,1.7563830544035676e-59
MS4A1,1.9754649233938926e-59
SULT1A2,2.702512120553536e-59
CYTIP,2.762710054684189e-59
NDUFB10,2.8646820157909414e-59
CMBL,3.709669068312014e-59
LYST,4.7960533847931706e-59
MT-ND5,6.055590405393297e-59
LY6E,6.76163519060103e-59
APOL6,1.004582928554497e-58
UQCR10,1.0860450347106188e-58
ABCG2,1.1093255344834326e-58
SEC14L1,1.4682273353286805e-58
BATF,1.627612213044922e-58
S100A6,4.2704865232960325e-58
CREM,5.164917480742142e-58
COL9A2,7.316183000621854e-58
LGI4,9.137632111748216e-58
TRIM40,2.4263412126561736e-57
CYCS,2.4760660701333463e-57
CFLAR,3.195100309256312e-57
QSOX1,4.059011009365086e-57
PSORS1C1,4.330645099099367e-57
HOXD11,9.937013539758171e-57
CLDN12,1.0084794073739694e-56
POLR2L,1.0132359892213253e-56
ANXA5,1.3237622964955974e-56
SYTL1,1.3412628905300163e-56
ARMCX3,1.466410333932069e-56
ITGA2,1.5100628584134383e-56
CCND1,1.7422840813942098e-56
ATF3,2.5365225258118813e-56
CD37,2.7069162140760283e-56
HSPH1,2.9261691540032075e-56
CYC1,3.3738361373254972e-56
ADAR,3.8930333579673677e-56
SUMO2,4.26406877047774e-56
RBBP8NL,6.974871174051434e-56
CKAP4,9.448651747327194e-56
AMN,2.6053156371910762e-55
ELOVL6,3.368807103758318e-55
MESP1,4.998899866655131e-55
FKBP11,5.5914298818657256e-55
CXCL3,1.0217856050768743e-54
PXMP2,2.0219182306390283e-54
STK4,2.359102305386328e-54
JMJD1C,3.77504726121144e-54
OSBPL8,5.0220581482801615e-54
ECH1,5.2072272130276876e-54
CD52,1.2650011950036292e-53
ALDOA,1.463216882873368e-53
XDH,1.7854415954660658e-53
ACADVL,1.8110033274602939e-53
NQO1,1.9445539302262705e-53
EHBP1L1,2.31344706089919e-53
CEACAM5,2.5451061273675235e-53
LRRFIP1,2.9923107438719568e-53
PEA15,3.4184049109018644e-53
GNA15,3.8508311526290314e-53
EPSTI1,4.1993725053942215e-53
PSME4,4.444428029274903e-53
HRCT1,5.756496617315954e-53
XAF1,6.168558623104536e-53
DNAJB6,7.435667518520794e-53
PRKAR1A,9.236402236509935e-53
PLEK2,1.0506443110872073e-52
MRPL41,1.1608086771190993e-52
F3,1.2419530103087317e-52
CALU,1.7530927059551028e-52
DDAH2,1.9602692858561735e-52
TBX10,1.9724805087748665e-52
LAMA1,2.5821775492885277e-52
KIF2A,3.2328429092541815e-52
IDO1,3.572950153704502e-52
COTL1,3.6693739144613734e-52
AGPAT4,3.7291547531837534e-52
TWSG1,3.972282250808228e-52
TTC3,4.730243694587213e-52
FABP5,8.866351467627108e-52
CORO1A,9.41210336277675e-52
TMC6,1.1317227712154651e-51
SLC37A1,2.0453159864835698e-51
EDF1,2.827178662287665e-51
SPOCK2,2.8386858075355315e-51
MSN,3.1954894574759524e-51
CD83,3.657467043369505e-51
ARID4B,4.420716085929052e-51
HOXD13,5.1995822179479934e-51
UBB,5.282183862395599e-51
ABCA12,5.881564816091053e-51
SLC26A3,6.658560650647869e-51
MAOA,7.688981132819077e-51
CDX1,8.697099658126931e-51
FBXO6,8.715533950129062e-51
NPM1,1.0180585928307065e-50
ACAA2,1.1409313667366698e-50
GPSM3,1.1543101306508588e-50
MUC12,1.256830085484298e-50
NEURL1B,1.2661734783654424e-50
TMEM243,1.6591931498730357e-50
SLC7A5,2.712451591668089e-50
IFITM1,3.2305843722585553e-50
CST3,4.1230610072486414e-50
FMNL1,5.15773084841528e-50
RNF149,9.309431271908047e-50
SCNN1B,9.495212939302311e-50
CTSH,9.834763326070089e-50
HNRNPA0,1.0115670767508683e-49
SEC24D,1.1199202435100935e-49
AHR,1.495242342768844e-49
IL1RN,2.5524632275460748e-49
VNN1,3.529867030972636e-49
BTN3A2,3.546798519186591e-49
SRGN,3.7898127827133635e-49
KCNK6,3.808483978127372e-49
TDP2,4.440978343015696e-49
SUB1,5.4412167508114926e-49
OSTC,6.2386917478800384e-49
BANK1,1.6024365049921586e-48
UBD,2.3633819077002492e-48
PSMB8,4.0579005608382674e-48
NAP1L1,5.609211774979811e-48
EMP3,5.628363426651741e-48
HES1,6.292261378688148e-48
RILPL2,6.833148082526208e-48
PDIA6,6.990410523778202e-48
KCNE3,7.686116055529076e-48
SLC39A5,8.14984100005951e-48
LDHB,8.495839809043399e-48
LMAN1,1.567801439939685e-47
STRAP,2.3252300558077205e-47
DDX17,2.7461031599236916e-47
PARP8,2.78426103327746e-47
APIP,2.815227362691454e-47
SSR1,3.1979239484612823e-47
SH3BGRL,3.4697915789049573e-47
EMB,3.5483387052030963e-47
SESN3,3.786915551518567e-47
GOLT1B,3.800294778493948e-47
PARP9,3.811543127948566e-47
KRT18,9.108621126549738e-47
KPNB1,1.005406702872235e-46
PPP2R5C,1.0982163647269754e-46
NEBL,1.1053242944924857e-46
GPCPD1,1.1145316110748367e-46
AURKAIP1,1.1605763758923825e-46
NDUFS6,1.2668702910104904e-46
ANKRD22,1.6679574701897255e-46
SRP19,1.6907558435583915e-46
CDV3,1.691549707919662e-46
PTPRC,2.677836222324548e-46
GNB5,2.738332502710203e-46
BAG3,2.7951029934111393e-46
R3HDM4,3.2441442657574253e-46
SMAP2,4.102103900684751e-46
AKR1B10,4.332547190032575e-46
WIPF1,4.437836709203375e-46
VIL1,5.067070859893822e-46
ZC3H12A,5.6695915231017455e-46
CYP27A1,6.301443861765656e-46
B3GNT7,9.562025074528957e-46
APOBEC3G,1.7499938425510978e-45
ZYX,1.9812513198385682e-45
ARPP19,2.439270555926123e-45
ETV7,2.4765320103284992e-45
RAP1B,2.984348695370705e-45
ZNFX1,3.6791128830350385e-45
TM4SF1,3.7274530821606604e-45
UGT2A3,5.087167565567816e-45
AKIRIN2,5.2172455541904714e-45
REG3A,7.268748573431417e-45
SERPINB1,9.726398028911723e-45
SPINK4,9.781423892137746e-45
ADH1C,1.5595589769734785e-44
SETD7,1.6791388748960097e-44
DDIT3,1.8276916448500986e-44
TNFAIP8,2.8405138535639654e-44
CYLD,3.932001919972916e-44
PALLD,4.0075966697143857e-44
IER2,4.325796506439574e-44
RBPMS,5.098607175645295e-44
PPP1R2,5.835648844633621e-44
KAZN,6.548692295747781e-44
TRIM69,7.378467597612274e-44
ELOVL5,8.775332187621794e-44
VPS28,1.0298816693631975e-43
GLRX,1.3625096292750135e-43
PRDX6,1.368572174113827e-43
PGM2L1,1.3842583778182966e-43
ID2,1.3844861233320655e-43
SAA4,1.627708898122956e-43
BTN3A1,1.9970733596994896e-43
DNAJC3,2.434565345455302e-43
CTSS,2.6859553278324603e-43
MYEOV,2.7106833370478443e-43
CDC42EP2,3.596309859299907e-43
FNDC3B,3.970518682318124e-43
ORAI2,5.742873084318835e-43
DUSP4,5.827720631317656e-43
GLDN,7.182672995165132e-43
SRP72,7.68424443427632e-43
CAMK2N1,7.965157472325084e-43
OGFR,8.402441162789686e-43
DRAM1,9.061777745282323e-43
IL18,1.2062815345094378e-42
ELF3,1.5801690984495846e-42
GMFG,2.2537997334481798e-42
RHOH,3.177824568318728e-42
PML,3.228292534595884e-42
VPS13C,4.307023743652826e-42
C11orf58,5.4247776825632135e-42
CCR7,5.432999197201503e-42
RPS21,5.75354105244814e-42
SERINC2,5.923690468664964e-42
IRF1,7.097080728071892e-42
AK1,8.02853655803376e-42
RARRES2,8.74817083673155e-42
SRI,8.86522602266541e-42
LBH,9.680867829343762e-42
ETS1,1.4580091481741683e-41
ESPN,1.4961953991056865e-41
CLEC2D,1.7088555583871547e-41
SOCS3,1.753770117307716e-41
ARL4C,1.8465054837623002e-41
UBE2J1,1.9683661474048799e-41
GALNT2,2.075154790205711e-41
REG4,2.1688367750109128e-41
MTHFD2,2.7171044011978677e-41
SLC17A4,3.92962986817236e-41
ZFAND2A,4.3930437466200247e-41
