Gene,P-value
KPNA2,4.491007113494825e-20
CD274,4.723673151841693e-20
SOD1,4.804097670711198e-20
HMGB1,5.092804055676647e-20
CREBZF,5.236439777302939e-20
BIN1,5.3988124652298224e-20
FAIM2,5.475018189701264e-20
DERL1,5.551359154909445e-20
ELP2,5.555663962111942e-20
CHI3L2,5.657037660216891e-20
PLEKHB1,5.673848292669166e-20
ZNF281,5.800670305921699e-20
DUOX1,5.831582275835847e-20
ASAP1,5.892961200880857e-20
AMD1,5.933844030674415e-20
RB1,6.399494415102994e-20
NMU,6.594772645273487e-20
RASGEF1B,6.613734245731914e-20
MIA,6.790245668339264e-20
NDFIP1,6.790283427366782e-20
SAMSN1,6.889140087221994e-20
SLC1A4,6.976033278386931e-20
SEC11C,7.123808558315557e-20
KLK11,7.141494663757922e-20
RBM7,7.265628306119843e-20
XIAP,7.389933408173624e-20
ANXA7,7.454881232748908e-20
AFAP1L2,7.820829169292998e-20
APOL3,7.839137922614974e-20
BTN2A1,7.940376938373829e-20
SLBP,8.346761507595912e-20
PUM1,8.794331836197876e-20
IRS1,8.883781626142334e-20
HTRA2,9.152187033786476e-20
TXNDC12,9.28141315083884e-20
CFDP1,9.594607217800635e-20
ARL2BP,9.633894830861575e-20
BNIP3,9.644698094303835e-20
IFRD2,9.793742720889621e-20
DNAJB11,9.863666499880964e-20
MEI1,1.030108740187377e-19
DBNL,1.044092613308564e-19
TMEM220,1.0845995558989267e-19
KLC1,1.1055626578202026e-19
PARVB,1.1542144500336792e-19
DDB1,1.1855966254352408e-19
LY96,1.1903645171142828e-19
SEC22B,1.2046034651913196e-19
CXCL16,1.2098782408225707e-19
DIMT1,1.2464111656191338e-19
MUC13,1.258237999836573e-19
SWAP70,1.31799578539057e-19
IGFALS,1.3323572356298558e-19
SLC35E1,1.3362206909757289e-19
MTHFR,1.3419149041559782e-19
CD28,1.358440441479019e-19
RC3H2,1.405642714651317e-19
RAB5A,1.477362634488499e-19
LAP3,1.4828796300635728e-19
PCGF5,1.5179000791404645e-19
KMT2C,1.573452935828951e-19
POLR1D,1.6064780713088256e-19
PLEKHG6,1.6065521730932057e-19
ARHGAP24,1.6072214231186468e-19
GJB3,1.6642305554469464e-19
RUNX3,1.7295916791551432e-19
GABRE,1.7325052719099995e-19
CDC40,1.7658126471340233e-19
NOB1,1.7880619953961748e-19
NBEAL2,1.7964681619175944e-19
MAP4,1.8111696081819724e-19
RASGRP2,1.921112018556144e-19
CAPG,1.9214023307380552e-19
ORAI1,1.9243462546273518e-19
AZIN1,1.9769013939592073e-19
STK24,2.0307617680005848e-19
NDUFV1,2.0520953328704957e-19
ZDHHC6,2.0714147342698862e-19
ANTXR2,2.074286359881602e-19
AIFM3,2.2165499045211347e-19
PDE7A,2.2296993693679817e-19
FBXO21,2.2902251325002048e-19
ANG,2.2969728792111635e-19
AKAP17A,2.3284461433439194e-19
CORO1C,2.3530665534919816e-19
HOOK3,2.3956735255389e-19
ARL8A,2.4496571137086887e-19
CNBP,2.4549596847696217e-19
TAX1BP1,2.4774801202761865e-19
VCAM1,2.501647583966015e-19
KLC4,2.558119919216016e-19
FXYD1,2.566822604190192e-19
TOR3A,2.6032379861303534e-19
SRP54,2.6248956012394184e-19
ATP6V0E1,2.6635881566875865e-19
CNDP2,2.687290143568948e-19
NCOA3,2.7347653254231115e-19
SLCO2A1,2.7431581351285314e-19
AGFG1,2.76501835544115e-19
CACUL1,2.79101911292236e-19
ITGB4,2.8121306436125786e-19
SP100,2.910892591358085e-19
OSTF1,3.0155864659144574e-19
TRIM27,3.0231018059635404e-19
LPXN,3.0857259672052323e-19
APBB1IP,3.111643693372235e-19
HNRNPF,3.1354236152264074e-19
TPRN,3.1359362182193474e-19
KDSR,3.1974980505534232e-19
METTL21A,3.2000940856975283e-19
OTULIN,3.234591009440334e-19
CPNE1,3.249854620831937e-19
FBXO3,3.2681387413413284e-19
SGTA,3.292400177458352e-19
DOCK8,3.303206230914465e-19
NUP50,3.3389789529832954e-19
NUB1,3.4156528273629476e-19
PITPNM1,3.4844311316453846e-19
NR3C1,3.4859145673134617e-19
ALOX5,3.534221009614207e-19
SP140,3.6290454742794617e-19
KAT6A,3.659014112329708e-19
TMEM54,3.6669094308880087e-19
TRAFD1,4.032128710030217e-19
KIAA1217,4.1882870592409103e-19
SRSF9,4.2651233597191973e-19
GPN1,4.3191741908120874e-19
SUZ12,4.397852221859576e-19
ABCB1,4.493538906772301e-19
PTRH1,4.517207305824237e-19
TUSC2,4.517623508406026e-19
MORF4L2,4.6875576716456655e-19
PRRC1,4.718976809170188e-19
EXOSC1,4.835108952943304e-19
HPSE,4.878270074338807e-19
MIF,5.365880767364073e-19
ITPR3,5.507499222816573e-19
BRK1,5.688041563334923e-19
ZNF292,5.700845045611307e-19
DCAF7,5.7401169481277195e-19
TNFRSF11A,5.789517821545e-19
PNO1,5.868736694001727e-19
GCNT3,5.997472929763512e-19
SEMA3C,6.184980550811551e-19
AFF3,6.368447648206485e-19
VSIG2,6.472765557180534e-19
TBXAS1,6.518913492680631e-19
CCDC90B,6.528539640547212e-19
WDR41,6.595250099842463e-19
IL2RA,6.72355136915011e-19
PDCD6,6.808828576025074e-19
CXCR5,6.835777546624233e-19
RABGGTB,6.863445041566454e-19
CD5,6.93820288915304e-19
SCG5,6.967678638811381e-19
GMPS,7.086937008708803e-19
SYPL1,7.13628407677568e-19
MRPS23,7.200284547608825e-19
ASAH1,7.201700581147729e-19
RHOD,7.252840105926407e-19
F11R,7.334162120495448e-19
FAM83F,7.412680832934485e-19
SLC3A1,7.488451067745204e-19
WDR73,7.556532374283619e-19
ODF2L,7.769295365347892e-19
ACP1,7.88319755317459e-19
SDHB,7.937861441517104e-19
FGFR1OP2,8.011030980518561e-19
ITM2B,8.021538217554197e-19
PIM2,8.041280596497326e-19
DDHD1,8.053037275647713e-19
NECAP2,8.089855169753553e-19
TFF3,8.235184627679401e-19
TERF2IP,8.578844515309343e-19
CPEB4,8.639011450251869e-19
HSBP1L1,8.795665520570693e-19
PGD,8.845400631875922e-19
ISOC1,8.970924246986377e-19
GIMAP2,9.027987543262058e-19
MFN1,9.109509585554926e-19
N4BP2,9.224669425496856e-19
FAM199X,9.549325411256156e-19
APPBP2,1.0276859001877705e-18
CNTRL,1.0334543056809373e-18
MED16,1.0505075776743533e-18
ST6GALNAC4,1.0506177278399452e-18
CMPK1,1.0715598111802758e-18
ABLIM1,1.0738452472787705e-18
ANKH,1.1093103126219432e-18
VKORC1L1,1.1108837110555193e-18
TBK1,1.146968626147749e-18
ACOT9,1.1717354346559088e-18
PIGP,1.1867022669626282e-18
TMEM253,1.1943436498673235e-18
HNRNPUL1,1.206383542048101e-18
HNRNPK,1.2121113192920697e-18
DFFA,1.2166834883995543e-18
C4orf3,1.2213978913977115e-18
PRPSAP1,1.2354479377698601e-18
MAGEH1,1.2440958190523494e-18
PLEKHA2,1.2722564713839842e-18
CNPY2,1.2832915989152978e-18
FUBP3,1.2918648506894285e-18
ELK3,1.3003349535917983e-18
KCTD12,1.3179014981647694e-18
ZC3H18,1.3374071299529224e-18
MRPL17,1.358178542086239e-18
ECHDC3,1.3643452849328157e-18
HLA-DOA,1.3824692591717689e-18
RHEB,1.3839211657924068e-18
RUNX1,1.3855546621621119e-18
FPGS,1.3909473715164854e-18
CREG1,1.4077206745297497e-18
RAB11FIP1,1.4286315994949454e-18
C2orf69,1.471414459522546e-18
FIBCD1,1.5052136858664798e-18
CCNG1,1.5829039373149397e-18
F8A1,1.708558538453364e-18
TRIM38,1.7822974871167495e-18
MATR3,1.8088910679918454e-18
SLC5A3,1.8569765104321356e-18
HIGD1A,1.908578477695892e-18
AP3D1,1.9129438911997275e-18
TMEM248,1.919954657912945e-18
C6orf62,1.9357262154565255e-18
ACVRL1,1.949364329315081e-18
SLC7A6,1.9677977610822107e-18
PANK2,1.978795238241034e-18
MARCKSL1,2.0236277387777596e-18
DYNLT1,2.0459542800860095e-18
ENTPD1,2.0621083701558998e-18
ARID3A,2.0733560157216654e-18
SAMD4B,2.1860659862503454e-18
ELMO1,2.2277729166204013e-18
AKNA,2.2805670487460996e-18
C14orf119,2.2969220638493926e-18
CSNK1D,2.3011625874209865e-18
TSPAN13,2.335691737387945e-18
MARK3,2.3860442266495487e-18
PLBD1,2.4020582727618285e-18
CFD,2.4126849838404415e-18
DYRK4,2.4779958611378324e-18
SLC25A34,2.495205281623351e-18
ZBTB38,2.5147440811996565e-18
HOXB7,2.5383484479187787e-18
SETD5,2.6172129060919213e-18
TNKS1BP1,2.639142339176689e-18
SERBP1,2.690236423764441e-18
ATP6V1B2,2.700428902994841e-18
PIM1,2.707163882271916e-18
SLC35B2,2.7207797954043435e-18
MFSD2A,2.7243402864834054e-18
YWHAZ,2.7262790786769998e-18
EID1,2.734504895300415e-18
SLK,2.7493508124367714e-18
PAG1,2.803768722406637e-18
NOSTRIN,2.8656873913573158e-18
SLC22A5,2.9186142674382133e-18
PCSK9,2.9426272963010424e-18
COPS2,3.001325598449744e-18
EDN3,3.001707141115881e-18
P2RX5,3.007127439603727e-18
RNASE1,3.018732864186753e-18
ANAPC13,3.023472043165785e-18
DHX36,3.078985710851766e-18
SLAMF1,3.0984336194736765e-18
PSMG1,3.102729510561987e-18
IL21R,3.1213361770769804e-18
B4GALT7,3.1538515938897123e-18
EHD4,3.22609819333839e-18
SLMAP,3.248680859159053e-18
MAT2B,3.337264717301131e-18
SSRP1,3.435523385889086e-18
HNRNPA2B1,3.436910793866884e-18
UBE2Q2,3.5300651786605194e-18
CD3G,3.693074778204385e-18
CHMP1B,3.73501973723795e-18
DECR2,3.745228090995528e-18
PLEKHO1,3.759930625601455e-18
PRPS1,3.820132757783844e-18
SELPLG,3.926021975335659e-18
HDAC1,3.959555002413373e-18
EIF4B,4.059508179391631e-18
HNRNPR,4.171300394515158e-18
TRIM59,4.2967941216793695e-18
RPL31,4.312449422781995e-18
SEC22C,4.376468531156098e-18
CBFB,4.450317118375295e-18
ZBED2,4.6306385806886434e-18
DHTKD1,4.697026461727069e-18
CDC37L1,4.78931345558171e-18
CDC73,4.9138847998686855e-18
STARD3NL,4.920212408767842e-18
METTL8,5.039359514630934e-18
OGT,5.042358144655276e-18
TCF7L2,5.1180747471072865e-18
AGO3,5.1341374142309306e-18
SFT2D2,5.180392823334055e-18
PHLPP2,5.233965328011345e-18
TNFAIP1,5.372092263537665e-18
MIS18BP1,5.657048839326699e-18
NAT9,5.729288975292676e-18
NAA20,5.732792183515898e-18
RASA2,5.953498595652793e-18
NDE1,6.139679660447472e-18
PPP1R16B,6.222653457795473e-18
CERS2,6.253812297694802e-18
GLIPR1,6.322464965681398e-18
TMEM176A,6.5008895976048295e-18
GLT8D1,6.50209261731051e-18
UGP2,6.524380933271898e-18
PABPN1,6.565782541795505e-18
EPHB3,6.678251174395248e-18
TMED7,6.77172021830271e-18
THUMPD1,6.782331226718587e-18
TRIB2,6.915629136369013e-18
RPSA,6.921124629975211e-18
GLCCI1,7.212189682122681e-18
IL27RA,7.336169417573272e-18
SLC20A1,7.36574884616103e-18
DEFB1,7.451087989580348e-18
IRS2,7.47173206739735e-18
KCNK1,7.65954851761723e-18
HILPDA,7.796843747831011e-18
SNRPE,7.818718048689326e-18
ANKRD50,7.898123805319224e-18
PDZD8,8.106205907440005e-18
RGS10,8.192026233670609e-18
GOLPH3,8.280450032253655e-18
TRAF5,8.482426629140774e-18
HELZ,8.634023809095714e-18
SRRT,8.653750603385546e-18
PXN,8.779668683246703e-18
AP3S1,8.803915127739376e-18
TNFAIP8L1,8.829985201661902e-18
SENP5,8.88623186021217e-18
EDEM3,8.984166033388926e-18
DERL3,8.988941961872716e-18
APH1A,9.093571648414089e-18
NFATC1,9.129141534377368e-18
NT5DC2,9.241068123764684e-18
BAG2,9.329960839449657e-18
CAPRIN1,9.386922957236231e-18
IL26,9.565149877721796e-18
NOP58,9.612139125592168e-18
SPATA20,9.930742374252358e-18
BBIP1,1.0026900790063994e-17
XKR9,1.0065877229554672e-17
STAT5A,1.0168451534476062e-17
PRRC2B,1.031788288745573e-17
KLC2,1.037298546617793e-17
HAVCR2,1.0669898546053098e-17
N4BP2L1,1.1540954134925382e-17
EXOSC7,1.159593088749624e-17
ZFP36L1,1.1684644379819438e-17
FCRL5,1.1717487468186224e-17
PPP1R12A,1.1726209283451099e-17
STXBP1,1.175972506740615e-17
PPIL1,1.1868467892931857e-17
UTRN,1.1981134905841075e-17
CUL1,1.2237437483131523e-17
TNFRSF13C,1.2312525511856327e-17
FKBP9,1.2618099700052565e-17
LTBP3,1.2650817085472326e-17
SH3GLB1,1.3494259141830805e-17
SFTPA2,1.3584136636200014e-17
RPS6KA2,1.377768821376011e-17
RAPH1,1.389894921321231e-17
SLC35A2,1.410995569219699e-17
NIPA2,1.449962403215121e-17
ATP2B4,1.45034168293069e-17
CLDN1,1.475226123830875e-17
POC1B,1.4888588175345918e-17
ZDHHC2,1.4960608432480797e-17
SMC6,1.548679650338802e-17
DSP,1.5492780535655902e-17
LST1,1.6871975108888316e-17
RTP4,1.7303242546416302e-17
SLC35A1,1.7499403973322997e-17
NFIB,1.7527835972889865e-17
TXNRD1,1.7622080902156032e-17
JMJD6,1.812802732913864e-17
ACAT1,2.038010488608463e-17
GALK1,2.1192930268516636e-17
TMEM126A,2.1277701591037578e-17
CCDC28B,2.1481796699141525e-17
UNC5CL,2.1812430025554995e-17
MRFAP1,2.1974072600611005e-17
RPL37,2.2359176512043866e-17
ZC3HAV1,2.249515269591872e-17
THRAP3,2.2707190672430352e-17
PURB,2.3109871833428863e-17
RNF34,2.3277706799039575e-17
ARF4,2.3495386938562136e-17
FAM174A,2.438706158804629e-17
ABHD13,2.4431180484552847e-17
ITGA4,2.5011101909514517e-17
SULT1B1,2.522063209444615e-17
TMED9,2.5330799741146635e-17
RREB1,2.5436047591050726e-17
TTC39A,2.642355341104916e-17
TIGIT,2.6872443763703084e-17
HSPA13,2.739238121762471e-17
TIMM17A,2.8727082376393695e-17
GTF2IRD1,2.989490965702037e-17
CHIC2,3.022635812489318e-17
RBM23,3.024582332729781e-17
CCT8,3.0477885535173003e-17
ECE2,3.1015640790622616e-17
CCP110,3.102385601796483e-17
CD4,3.1532326936477944e-17
MBD4,3.1973263376181524e-17
MAGOHB,3.307932880586412e-17
HKDC1,3.334319481742403e-17
USP18,3.374511778130627e-17
CYP20A1,3.378007636763582e-17
SLC35C2,3.4060744572760915e-17
YIPF2,3.5097045850760486e-17
COPB1,3.526659595134635e-17
CPT1A,3.564196674596165e-17
CDC26,3.6677193165186225e-17
UBE2J2,3.6803941985092935e-17
HNRNPM,3.687522016456738e-17
ALYREF,3.719205145782931e-17
VIM,3.7250681140201004e-17
SASH3,3.766213400206774e-17
PLLP,3.881276647085521e-17
PIGR,3.910699171753939e-17
LRFN4,3.9439737597766137e-17
TOR1AIP2,3.996912234813082e-17
PARL,4.0050402302050437e-17
RIMS3,4.0634261530069137e-17
STAT2,4.092543734542119e-17
TMEM184B,4.205306777703268e-17
HIP1R,4.466379506711486e-17
DPF2,4.713255324633853e-17
RDH14,4.732934121127854e-17
TEAD4,4.7932692018886724e-17
DNAJC30,4.831791862907189e-17
PAPOLA,4.8880162748832097e-17
WIPI2,4.9648062316446434e-17
EIF2S3,4.9878454372830383e-17
PPFIA1,5.0253990938517057e-17
SEC13,5.048100725173129e-17
SRP68,5.0631575145391844e-17
PPIL3,5.119514180655443e-17
ARPC5L,5.122912773877791e-17
PLOD2,5.173669252987578e-17
RASD2,5.2471405289325324e-17
RHBDD2,5.3578064567378304e-17
PLEKHA3,5.378186865300868e-17
VAMP7,5.4791854296642185e-17
STIP1,5.514558186236663e-17
DBF4,5.715894542347754e-17
WDFY2,5.750523402726887e-17
HNRNPDL,5.757800819170462e-17
ZNF146,5.800218052941922e-17
FTSJ1,5.922428823269278e-17
TWF1,5.940196905875073e-17
SYNPO,5.956292184525631e-17
SMG7,5.980516745173871e-17
INTS10,6.264855642394954e-17
NCK1,6.380470737050065e-17
CLU,6.438257372850165e-17
MYO1A,6.713386699212474e-17
HSPA1B,6.763637610996965e-17
RFTN1,6.790125005142729e-17
RECQL,6.816946870153816e-17
NGRN,7.143095589433056e-17
PPP1R18,7.233400128211377e-17
KDM5D,7.256725164975742e-17
SBF1,7.489950715081808e-17
TBPL1,7.65310724735194e-17
NSUN2,7.738435883845962e-17
SH3GL1,7.90532712033081e-17
MZT2B,7.966011910577993e-17
NIP7,8.047868909083664e-17
GBA3,8.096807806641251e-17
ZNF37A,8.103570119623674e-17
AFF4,8.143913208622133e-17
RIC3,8.424944023256385e-17
ARHGEF3,8.458164017871838e-17
SEC16A,8.520984893889558e-17
MAF,8.650826895784408e-17
C7orf50,8.719184939522719e-17
C16orf54,8.871165025805287e-17
STK10,9.110565197136908e-17
CEP135,9.211660661620243e-17
THOP1,9.254095118261877e-17
ATP6AP2,9.274920971031521e-17
CRLF3,9.344932911066928e-17
LSS,1.0184851784632508e-16
JARID2,1.0283464683547923e-16
ZFP36,1.03117681544715e-16
ADA,1.0781283157986872e-16
MRAP2,1.104928450019235e-16
PREP,1.10759593953591e-16
RNF130,1.1076735445446553e-16
MED28,1.1211125423060868e-16
PRKX,1.1427567539225354e-16
SLC25A29,1.1692211267039292e-16
CDC42SE1,1.2261267757961711e-16
ZNF267,1.2382618076723577e-16
ZPR1,1.251928036248293e-16
SEMA4D,1.2555796676748613e-16
ZFAND1,1.2779291875970173e-16
SMS,1.3003681609059603e-16
TET2,1.326366040433737e-16
IPO7,1.333737307711428e-16
CREB1,1.335119248088857e-16
GCSH,1.335248047557355e-16
COPS4,1.3559174750265935e-16
CATSPERB,1.357331571035884e-16
SLC38A5,1.3697387215347914e-16
GEMIN8,1.3720850804497212e-16
PSMA5,1.3878701694740654e-16
SAMHD1,1.4142148091021995e-16
ISY1,1.4302828058684994e-16
BET1L,1.4307664058542395e-16
THOC3,1.433906431343301e-16
CDH3,1.443394443142704e-16
B3GNT6,1.4565503263968298e-16
UBXN2A,1.4622512080530385e-16
C1orf115,1.465194621938043e-16
FLOT2,1.4980173539285645e-16
CENPT,1.505721508251462e-16
ERH,1.6196148270778675e-16
TNFRSF25,1.621308742539514e-16
KLHDC4,1.628738238022395e-16
AHCYL1,1.648978083984189e-16
TNPO1,1.6740842740366998e-16
TNFAIP3,1.6981749296615134e-16
DUSP2,1.717839811537138e-16
OLFM1,1.7641605747569804e-16
PYCARD,1.793154783961031e-16
ARSJ,1.8071506993418588e-16
BTK,1.8464962949907973e-16
MAGT1,1.8491609059903772e-16
DDX21,1.8571585703135013e-16
SLC15A4,1.8603244307778122e-16
DESI1,1.8668036970960138e-16
SPCS2,2.0063435514592817e-16
SYVN1,2.0395220842789183e-16
ACOT13,2.0406796044446763e-16
MFNG,2.0473297311851086e-16
COPS7B,2.0474997046905675e-16
BAK1,2.0642903410761233e-16
SLC27A2,2.0650503856601196e-16
IFIT5,2.1053865292435147e-16
KIF5B,2.1547976558393195e-16
UBE2G1,2.2044164129887078e-16
TRAF1,2.2567865807215475e-16
SDAD1,2.3083501278104627e-16
PTPRG,2.3638442813443487e-16
LSM2,2.369176487868724e-16
HHEX,2.3749137148484004e-16
EBPL,2.3935853461381026e-16
FAM111A,2.442673885745907e-16
ZMYM5,2.467560709553232e-16
SMARCC2,2.518261618462386e-16
G3BP2,2.524607429069676e-16
ICAM2,2.6005970221283134e-16
DPAGT1,2.6176559897922593e-16
ADNP2,2.6410045753704575e-16
PHTF1,2.680192632210993e-16
JOSD1,2.6806568385643974e-16
MTHFD2L,2.6821608230130557e-16
SOX9,2.730195389802969e-16
BATF2,2.825725693470555e-16
ALG1,2.844178719065911e-16
RNF115,2.865580937932184e-16
MPHOSPH10,2.875761409592995e-16
POLR2J3,2.9267794266703285e-16
DCP2,2.9412689748972615e-16
PTPRD,3.066142503088351e-16
BAD,3.1094746121202465e-16
MSC,3.1132093453440683e-16
PRR13,3.118215582129254e-16
TRIP11,3.146463931659357e-16
TRAT1,3.1617990431519213e-16
ARRDC3,3.221977960234971e-16
CXCR6,3.283042718798849e-16
HVCN1,3.3527718393742483e-16
HSD3B7,3.4271465408283393e-16
ARHGAP15,3.4862801541339074e-16
TMEM167B,3.686467467641904e-16
KPNA3,3.691279301410383e-16
PIK3IP1,3.706430281590647e-16
PARK7,3.7177398288556065e-16
SLC35B1,3.749627766072974e-16
TRIM13,3.777168117262125e-16
EMILIN2,3.8598963440476516e-16
SLC25A28,3.9528956801932014e-16
IPO5,3.961264253400098e-16
CRY1,3.9904977103312635e-16
PPP1R15B,4.0114380407046843e-16
FUT2,4.0909324288264454e-16
PHLDA2,4.1487781207200026e-16
UBE2B,4.150790372516913e-16
RBM12,4.1895153619652855e-16
SAR1B,4.248467964742913e-16
ELOVL7,4.289334907884677e-16
ACTR6,4.303214196073765e-16
TXNDC9,4.505159965254785e-16
MRPS2,4.599027177761525e-16
RBL2,4.652103179055264e-16
STT3B,4.854037685114115e-16
BTF3L4,4.900732089702223e-16
SMOC2,4.966007920076006e-16
ATG4D,4.968740035940263e-16
ARPC3,4.978676439350981e-16
TLR3,5.011972053346979e-16
WDR43,5.052424079011754e-16
RAB22A,5.08397807451985e-16
TM4SF5,5.301593416386974e-16
FSTL1,5.354569663122473e-16
RBBP8,5.479762913006643e-16
EXOG,5.501314751536791e-16
UGGT1,5.747000729266275e-16
SYS1,5.756088993804528e-16
SEC11A,5.762618253190572e-16
NUDC,5.853734726955142e-16
ARL14,5.886427797272889e-16
SRP9,5.913199503083152e-16
SVIP,6.104990962373467e-16
SLC17A5,6.218353885964619e-16
TPGS2,6.334356135102997e-16
TBC1D10C,6.35314914371546e-16
SCYL2,6.405358484568547e-16
SOCS4,6.437053897879306e-16
MSL3,6.489286231497301e-16
ASNSD1,6.863696958797303e-16
PAF1,6.909367817660023e-16
EIF2AK2,7.168996378489734e-16
USP43,7.290556354385325e-16
AGR2,7.295821504276282e-16
TTC39B,7.560217790639545e-16
RPL15,7.618083206699627e-16
GNA13,7.736878307993674e-16
NOC2L,8.005402482391987e-16
PPIC,8.082912489005975e-16
ADNP,8.122391837770666e-16
UFL1,8.296187331197066e-16
ATP1A1,8.425418865668027e-16
ALOX5AP,8.437240408329504e-16
SPOP,8.82779424385142e-16
MT3,8.977902601312742e-16
GIMAP4,9.080582992010116e-16
COPRS,9.114588649132289e-16
ATG3,9.159391175476628e-16
POGLUT1,9.232427636949674e-16
FAM136A,9.233331893302488e-16
BAZ1A,9.237501283041057e-16
CCT2,9.327174221599863e-16
IRF2BP2,9.519160989727272e-16
ITPR2,9.609407375061116e-16
PDLIM2,9.638747266716994e-16
USP1,9.851943343786797e-16
STAG2,9.9151092853777e-16
RUVBL1,1.0391121060556521e-15
CNOT11,1.0515066892138425e-15
CALM1,1.0524976418612576e-15
QKI,1.0565311988252885e-15
ODF2,1.056969058122636e-15
ACLY,1.0584709631244156e-15
NR0B2,1.0848761430706005e-15
RAB27B,1.1023618138877246e-15
SNX3,1.1075522775489824e-15
SP5,1.1093156919552182e-15
CCZ1B,1.1466203060606843e-15
PSMB2,1.1896593824531957e-15
API5,1.1896685352228086e-15
PPP1CC,1.1902221789397594e-15
NOA1,1.1962344814519852e-15
IFNAR1,1.1995156929237264e-15
CMIP,1.2116834747755483e-15
AACS,1.2142095245187504e-15
MED24,1.2222257980667988e-15
GTF2A2,1.2353913332923332e-15
GALNT5,1.2903348205265316e-15
HCST,1.2956506371889807e-15
HPS4,1.3065035077212414e-15
PAX5,1.3122219500764236e-15
FEM1C,1.3563389516742654e-15
SLC6A6,1.3631622925683359e-15
IFI30,1.3764577635058084e-15
SFXN3,1.3941813485904654e-15
GABRA2,1.3945815350199822e-15
PHF11,1.4266215947817636e-15
HSPD1,1.4406400763141467e-15
RBM18,1.4411928666053678e-15
GCH1,1.4561463933417472e-15
MAPK8,1.4587618287008876e-15
PTPN12,1.5312489828547732e-15
VBP1,1.5622516957230588e-15
BAZ2A,1.5661891334908003e-15
PARP3,1.600642775235267e-15
RNF5,1.6047042085344977e-15
MFSD8,1.604707414092651e-15
PBXIP1,1.6471931822800392e-15
CDCA7,1.698898243061881e-15
DNTTIP2,1.7151467756269812e-15
PKN1,1.7219617382753335e-15
PIAS1,1.7461721401621864e-15
PLOD1,1.7574998278769594e-15
GGT6,1.836684057699702e-15
TTL,1.8373944964368416e-15
TJP2,1.8822114037004144e-15
SUGP2,1.882509922373046e-15
DNAJC12,1.8841821774495825e-15
PURA,1.8892070330904907e-15
AMMECR1,1.9298436281985465e-15
LRP8,1.9430353784436253e-15
GALNT7,1.9524993546657835e-15
CD58,1.978021048026817e-15
TSEN15,2.0410173454056306e-15
EIF3I,2.0721800461780652e-15
NDUFS3,2.128644549147335e-15
ERP44,2.1563581417573578e-15
RBM6,2.16273004719316e-15
RPIA,2.211880797269574e-15
NUPR1,2.222115033249597e-15
IL23A,2.2278531679545495e-15
PYURF,2.2472894520909977e-15
BRIX1,2.2573723116348312e-15
TSHZ2,2.2620283860558695e-15
TRAF3IP3,2.2635494577491305e-15
VPS26A,2.275029872762522e-15
LPAR6,2.301948103384963e-15
LIPG,2.313287893496476e-15
NUP54,2.349061975199719e-15
CDC37,2.387821691803533e-15
RIMKLA,2.4082627472899166e-15
SAMD5,2.4097153325840288e-15
MRPL42,2.4409895508252518e-15
FAM135A,2.451201101644225e-15
TIA1,2.4571891563390162e-15
IL17RB,2.460598082468621e-15
POGZ,2.466772918740994e-15
EXOSC6,2.5765327240870607e-15
ZFY,2.5894759363426744e-15
PANX1,2.5910002211198623e-15
CEACAM6,2.6037722978704393e-15
TINAG,2.6051302044311545e-15
TBC1D1,2.6100535870742013e-15
COX14,2.6204063005831707e-15
TAOK3,2.635330950502995e-15
FGL2,2.656284789844864e-15
CREB3,2.660584262848081e-15
SLCO4A1,2.6717578327161753e-15
HSPA4L,2.6767363358572043e-15
TOMM20,2.7184066239753274e-15
AP2B1,2.7427834658916062e-15
EML2,2.7525332834458048e-15
KDELR2,2.755736841300026e-15
NOSIP,2.8276579339688873e-15
NFATC2,2.9667907498564034e-15
SLC22A18,2.979107758627857e-15
MEF2A,2.9810546114920493e-15
TRAPPC3,2.9947625772363024e-15
ITGB6,3.0786201405363768e-15
KIAA0232,3.108424723530455e-15
CDKN1B,3.1927883991377816e-15
PSMD10,3.2215064762561553e-15
MIB1,3.260743312369709e-15
DGKE,3.3183710408024977e-15
TNFRSF21,3.372854921015024e-15
MZB1,3.496468621560652e-15
PKIG,3.5072520725450755e-15
SFXN2,3.586997999297436e-15
DRAM2,3.625011542842281e-15
EIF2AK4,3.7117248694840544e-15
SMARCA5,3.713020360168714e-15
STAU1,3.749975488550697e-15
FAU,3.815393061668108e-15
GIMAP5,3.85439903788542e-15
SMCHD1,3.910681089814377e-15
RORC,3.948146592670618e-15
BMS1,3.969124870899535e-15
COX11,3.971184340699965e-15
GPRC5A,3.989849020108808e-15
ABHD17A,4.055222972728391e-15
EIF3A,4.123835559291323e-15
SQSTM1,4.124215324234412e-15
CCNDBP1,4.129171675417068e-15
MYO1D,4.1527087180546475e-15
CRAT,4.277510435730151e-15
TOP2B,4.316300890058108e-15
PHF19,4.40877696843526e-15
SLC16A3,4.447707129007208e-15
RAB15,4.458059506243504e-15
WDR54,4.469201052148148e-15
ZDHHC14,4.498981449782595e-15
ITGA3,4.50113118419409e-15
MAGED2,4.5636402088523384e-15
TCERG1,4.577871600257212e-15
TMSB4Y,4.741002459467508e-15
EIF1B,4.75132598381377e-15
MAGED1,4.796548254353889e-15
STK17B,4.846332188498834e-15
MRFAP1L1,4.8665821790179895e-15
SMC3,4.8756295359041356e-15
RRP9,4.880470425116921e-15
TIMM22,4.945682880023114e-15
