Hierarchy_ID,Representative,Size,Mean_NES,Pathways
5.4,Regulated Necrosis R-HSA-5218859,17,1.4867360516826638,CASP8 Activity Is Inhibited R-HSA-5218900; Dimerization Of Procaspase-8 R-HSA-69416; FasL/ CD95L Signaling R-HSA-75157; RIPK1-mediated Regulated Necrosis R-HSA-5213460; TNFR1-induced Proapoptotic Signaling R-HSA-5357786; Microbial Modulation Of RIPK1-mediated Regulated Necrosis R-HSA-9686347; Regulated Necrosis R-HSA-5218859; Regulation Of Necroptotic Cell Death R-HSA-5675482; Caspase Activation Via Death Receptors In Presence Of Ligand R-HSA-140534; Intrinsic Pathway For Apoptosis R-HSA-109606; Regulation Of NF-kappa B Signaling R-HSA-9758274; BH3-only Proteins Associate With And Inactivate Anti-Apoptotic BCL-2 Members R-HSA-111453; Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769; Defective RIPK1-mediated Regulated Necrosis R-HSA-9693928; TRAIL Signaling R-HSA-75158; TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008; Regulation Of TNFR1 Signaling R-HSA-5357905
5.5,Translesion Synthesis By Y Family DNA Polymerases Bypasses Lesions On DNA Template R-HSA-110313,3,1.4337399181950954,Translesion Synthesis By Y Family DNA Polymerases Bypasses Lesions On DNA Template R-HSA-110313; Termination Of Translesion DNA Synthesis R-HSA-5656169; DNA Damage Bypass R-HSA-73893
5.6,STING Mediated Induction Of Host Immune Responses R-HSA-1834941,3,1.1471442273389802,IRF3-mediated Induction Of Type I IFN R-HSA-3270619; Regulation Of Innate Immune Responses To Cytosolic DNA R-HSA-3134975; STING Mediated Induction Of Host Immune Responses R-HSA-1834941
6.1,FGFR2 Alternative Splicing R-HSA-6803529,30,-1.4609347760289073,Transcription Of HIV Genome R-HSA-167172; RNA Polymerase II Transcribes snRNA Genes R-HSA-6807505; SLBP Independent Processing Of Histone Pre-mRNAs R-HSA-111367; Formation Of HIV-1 Elongation Complex Containing HIV-1 Tat R-HSA-167200; Formation Of TC-NER Pre-Incision Complex R-HSA-6781823; Pausing And Recovery Of Tat-mediated HIV Elongation R-HSA-167238; RNA Polymerase III Transcription Termination R-HSA-73980; HIV Transcription Initiation R-HSA-167161; Signaling By FGFR2 In Disease R-HSA-5655253; RNA Polymerase III Transcription Initiation R-HSA-76046; Formation Of Early Elongation Complex R-HSA-113418; HIV Elongation Arrest And Recovery R-HSA-167287; Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957; RNA Polymerase III Transcription Initiation From Type 3 Promoter R-HSA-76071; Abortive Elongation Of HIV-1 Transcript In Absence Of Tat R-HSA-167242; Formation Of RNA Pol II Elongation Complex R-HSA-112382; RNA Polymerase III Transcription Initiation From Type 1 Promoter R-HSA-76061; FGFR2 Alternative Splicing R-HSA-6803529; Signaling By FGFR2 IIIa TM R-HSA-8851708; RNA Polymerase II Pre-transcription Events R-HSA-674695; Formation Of HIV Elongation Complex In Absence Of HIV Tat R-HSA-167152; Activation Of HOX Genes During Differentiation R-HSA-5619507; RNA Polymerase III Transcription Initiation From Type 2 Promoter R-HSA-76066; PIWI-interacting RNA (piRNA) Biogenesis R-HSA-5601884; SLBP Dependent Processing Of Replication-Dependent Histone Pre-mRNAs R-HSA-77588; Late Phase Of HIV Life Cycle R-HSA-162599; Signaling By FGFR In Disease R-HSA-1226099; Selenoamino Acid Metabolism R-HSA-2408522; RNA Polymerase III Chain Elongation R-HSA-73780; FGFR2 Mutant Receptor Activation R-HSA-1839126
6.2,PI-3K cascade:FGFR3 R-HSA-5654710,28,-1.2424990883259046,Signaling By FGFR R-HSA-190236; FGFR3 Ligand Binding And Activation R-HSA-190239; FGFR3b Ligand Binding And Activation R-HSA-190371; Downstream Signaling Of Activated FGFR4 R-HSA-5654716; Negative Regulation Of FGFR3 Signaling R-HSA-5654732; Downstream Signaling Of Activated FGFR2 R-HSA-5654696; PI3K Cascade R-HSA-109704; FRS-mediated FGFR4 Signaling R-HSA-5654712; Signaling By FGFR3 In Disease R-HSA-5655332; FGFR4 Ligand Binding And Activation R-HSA-190322; FRS-mediated FGFR3 Signaling R-HSA-5654706; FGFR3 Mutant Receptor Activation R-HSA-2033514; SHC-mediated cascade:FGFR3 R-HSA-5654704; Signaling By Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) R-HSA-2404192; PI-3K cascade:FGFR3 R-HSA-5654710; Phospholipase C-mediated Cascade; FGFR3 R-HSA-5654227; PI-3K cascade:FGFR2 R-HSA-5654695; Signaling By FGFR4 R-HSA-5654743; IRS-mediated Signaling R-HSA-112399; PI-3K cascade:FGFR4 R-HSA-5654720; PI-3K cascade:FGFR1 R-HSA-5654689; Phospholipase C-mediated Cascade; FGFR4 R-HSA-5654228; Signaling By FGFR3 R-HSA-5654741; Negative Regulation Of FGFR4 Signaling R-HSA-5654733; IRS-related Events Triggered By IGF1R R-HSA-2428928; Downstream Signaling Of Activated FGFR3 R-HSA-5654708; Insulin Receptor Signaling Cascade R-HSA-74751; IGF1R Signaling Cascade R-HSA-2428924
6.3,MET Activates RAP1 And RAC1 R-HSA-8875555,22,-1.220819222287519,Signaling By ERBB2 ECD Mutants R-HSA-9665348; Signaling By ERBB2 KD Mutants R-HSA-9664565; RHOJ GTPase Cycle R-HSA-9013409; MET Activates PI3K/AKT Signaling R-HSA-8851907; PI3K Events In ERBB2 Signaling R-HSA-1963642; Signaling By FGFR2 R-HSA-5654738; Prolonged ERK Activation Events R-HSA-169893; Signaling By FGFR4 In Disease R-HSA-5655291; RAS Signaling Downstream Of NF1 Loss-Of-Function Variants R-HSA-6802953; MET Receptor Recycling R-HSA-8875656; Activated NTRK2 Signals Thru PI3K R-HSA-9028335; Signaling By ERBB2 TMD/JMD Mutants R-HSA-9665686; Signaling By ERBB2 In Cancer R-HSA-1227990; Attachment Of GPI Anchor To uPAR R-HSA-162791; RHOG GTPase Cycle R-HSA-9013408; Frs2-mediated Activation R-HSA-170968; ERBB2 Activates PTK6 Signaling R-HSA-8847993; MET Activates RAP1 And RAC1 R-HSA-8875555; Activated NTRK2 Signals Thru FRS2 And FRS3 R-HSA-9028731; Signaling By ERBB2 R-HSA-1227986; Downregulation Of ERBB2:ERBB3 Signaling R-HSA-1358803; Downregulation Of ERBB2 Signaling R-HSA-8863795
7.1,Potassium Channels R-HSA-1296071,22,1.2279220834460949,Chaperonin-mediated Protein Folding R-HSA-390466; ADP Signaling Thru P2Y Purinoceptor 12 R-HSA-392170; Activation Of Kainate Receptors Upon Glutamate Binding R-HSA-451326; Thrombin Signaling Thru Proteinase Activated Receptors (PARs) R-HSA-456926; G Beta:Gamma Signaling Thru BTK R-HSA-8964315; Voltage Gated Potassium Channels R-HSA-1296072; Presynaptic Function Of Kainate Receptors R-HSA-500657; G-protein Beta:Gamma Signaling R-HSA-397795; Extra-nuclear Estrogen Signaling R-HSA-9009391; G Beta:Gamma Signaling Thru CDC42 R-HSA-8964616; G-protein Activation R-HSA-202040; Platelet Homeostasis R-HSA-418346; G Beta:Gamma Signaling Thru PI3Kgamma R-HSA-392451; G Alpha (Z) Signaling Events R-HSA-418597; G Alpha (Q) Signaling Events R-HSA-416476; Prostacyclin Signaling Thru Prostacyclin Receptor R-HSA-392851; Phase 1 - Inactivation Of Fast Na+ Channels R-HSA-5576894; Inwardly Rectifying K+ Channels R-HSA-1296065; Activation Of G Protein Gated Potassium Channels R-HSA-1296041; Free Fatty Acids Regulate Insulin Secretion R-HSA-400451; G Beta:Gamma Signaling Thru PLC Beta R-HSA-418217; Potassium Channels R-HSA-1296071
7.2,Chemokine Receptors Bind Chemokines R-HSA-380108,16,1.4585443911704294,"Transcriptional Regulation Of Testis Differentiation R-HSA-9690406; P2Y Receptors R-HSA-417957; Nucleotide-like (Purinergic) Receptors R-HSA-418038; Binding And Entry Of HIV Virion R-HSA-173107; RHOB GTPase Cycle R-HSA-9013026; G Alpha (I) Signaling Events R-HSA-418594; GPCR Downstream Signaling R-HSA-388396; GPCR Ligand Binding R-HSA-500792; Chemokine Receptors Bind Chemokines R-HSA-380108; WNT5A-dependent Internalization Of FZD2, FZD5 And ROR2 R-HSA-5140745; Signaling By GPCR R-HSA-372790; Class A/1 (Rhodopsin-like Receptors) R-HSA-373076; Formyl Peptide Receptors Bind Formyl Peptides And Many Other Ligands R-HSA-444473; WNT5A-dependent Internalization Of FZD4 R-HSA-5099900; Peptide Ligand-Binding Receptors R-HSA-375276; Free Fatty Acid Receptors R-HSA-444209"
7.3,Class B/2 (Secretin Family Receptors) R-HSA-373080,11,1.461695011853891,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821; G Alpha (S) Signaling Events R-HSA-418555; GPER1 Signaling R-HSA-9634597; Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851; Class B/2 (Secretin Family Receptors) R-HSA-373080; Leishmania Infection R-HSA-9658195; Leukotriene Receptors R-HSA-391906; LTC4-CYSLTR Mediated IL4 Production R-HSA-9664535; Calcitonin-like Ligand Receptors R-HSA-419812; CD163 Mediating An Anti-Inflammatory Response R-HSA-9662834; Activation Of GABAB Receptors R-HSA-991365
8.1,DNA Methylation R-HSA-5334118,14,1.6148841455760852,Inhibition Of DNA Recombination At Telomere R-HSA-9670095; Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886; Transcriptional Regulation Of Granulopoiesis R-HSA-9616222; Amyloid Fiber Formation R-HSA-977225; SIRT1 Negatively Regulates rRNA Expression R-HSA-427359; RNA Polymerase I Promoter Opening R-HSA-73728; Assembly Of ORC Complex At Origin Of Replication R-HSA-68616; Reproduction R-HSA-1474165; HDR Thru MMEJ (alt-NHEJ) R-HSA-5685939; Packaging Of Telomere Ends R-HSA-171306; PRC2 Methylates Histones And DNA R-HSA-212300; Meiosis R-HSA-1500620; Cleavage Of Damaged Purine R-HSA-110331; DNA Methylation R-HSA-5334118
8.2,RUNX3 Regulates YAP1-mediated Transcription R-HSA-8951671,12,1.3848512816591676,"YAP1- And WWTR1 (TAZ)-stimulated Gene Expression R-HSA-2032785; Signaling By Hippo R-HSA-2028269; Synthesis, Secretion, And Inactivation Of Glucagon-like Peptide-1 (GLP-1) R-HSA-381771; Insulin Processing R-HSA-264876; Synthesis, Secretion, And Deacylation Of Ghrelin R-HSA-422085; Peptide Hormone Biosynthesis R-HSA-209952; Physiological Factors R-HSA-5578768; RUNX3 Regulates YAP1-mediated Transcription R-HSA-8951671; Incretin Synthesis, Secretion, And Inactivation R-HSA-400508; Metabolism Of Angiotensinogen To Angiotensins R-HSA-2022377; Synthesis, Secretion, And Inactivation Of Glucose-dependent Insulinotropic Polypeptide (GIP) R-HSA-400511; Peptide Hormone Metabolism R-HSA-2980736"
8.3,RUNX1 And FOXP3 Control Development Of Regulatory T Lymphocytes (Tregs) R-HSA-8877330,11,1.4003609798364147,RUNX1 Regulates Transcription Of Genes Involved In WNT Signaling R-HSA-8939256; RUNX2 Regulates Genes Involved In Cell Migration R-HSA-8941332; RUNX1 And FOXP3 Control Development Of Regulatory T Lymphocytes (Tregs) R-HSA-8877330; RUNX2 Regulates Osteoblast Differentiation R-HSA-8940973; RUNX1 Regulates Transcription Of Genes Involved In Interleukin Signaling R-HSA-8939247; RUNX3 Regulates p14-ARF R-HSA-8951936; RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of Keratinocytes R-HSA-8939242; RUNX1 Regulates Transcription Of Genes Involved In BCR Signaling R-HSA-8939245; RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459; RUNX3 Regulates Immune Response And Cell Migration R-HSA-8949275; RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of Myeloid Cells R-HSA-8939246
8.4,Deposition Of New CENPA-containing Nucleosomes At Centromere R-HSA-606279,7,1.3489918178419118,Platelet Sensitization By LDL R-HSA-432142; Resolution Of Sister Chromatid Cohesion R-HSA-2500257; Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444; Deposition Of New CENPA-containing Nucleosomes At Centromere R-HSA-606279; RHO GTPase Effectors R-HSA-195258; RHO GTPases Activate Formins R-HSA-5663220; EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025
8.5,Diseases Of Programmed Cell Death R-HSA-9645723,3,1.263668528829384,Deregulated CDK5 Triggers Neurodegenerative Pathways In Alzheimers Disease Models R-HSA-8862803; Defective Intrinsic Pathway For Apoptosis R-HSA-9734009; Diseases Of Programmed Cell Death R-HSA-9645723
9.1,Complement Cascade R-HSA-166658,5,1.8297092524695209,Lectin Pathway Of Complement Activation R-HSA-166662; Initial Triggering Of Complement R-HSA-166663; Complement Cascade R-HSA-166658; Creation Of C4 And C2 Activators R-HSA-166786; Ficolins Bind To Repetitive Carbohydrate Structures On Target Cell Surface R-HSA-2855086
9.2,Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,3,1.838756616475962,Activation Of C3 And C5 R-HSA-174577; Post-translational Protein Phosphorylation R-HSA-8957275; Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426
9.3,Regulation Of Complement Cascade R-HSA-977606,2,1.9639700616033093,Regulation Of Complement Cascade R-HSA-977606; Classical Antibody-Mediated Complement Activation R-HSA-173623
10,Regulation Of Signaling By NODAL R-HSA-1433617,5,-1.3021002339817542,Signaling By Activin R-HSA-1502540; Signaling By BMP R-HSA-201451; Signaling By NODAL R-HSA-1181150; SMAD2/SMAD3:SMAD4 Heterotrimer Regulates Transcription R-HSA-2173796; Regulation Of Signaling By NODAL R-HSA-1433617
11,Mitochondrial Translation Elongation R-HSA-5389840,4,-2.065576315130051,Mitochondrial Translation Elongation R-HSA-5389840; Mitochondrial Translation Initiation R-HSA-5368286; Mitochondrial Translation R-HSA-5368287; Mitochondrial Translation Termination R-HSA-5419276
12,Digestion R-HSA-8935690,3,-1.5533895719389539,Digestion R-HSA-8935690; Digestion Of Dietary Lipid R-HSA-192456; Digestion Of Dietary Carbohydrate R-HSA-189085
13,Miro GTPase Cycle R-HSA-9715370,3,-1.568213450093283,Miro GTPase Cycle R-HSA-9715370; RHOT2 GTPase Cycle R-HSA-9013419; RHOT1 GTPase Cycle R-HSA-9013425
14,Golgi Associated Vesicle Biogenesis R-HSA-432722,3,-1.5633150576784292,Lysosome Vesicle Biogenesis R-HSA-432720; trans-Golgi Network Vesicle Budding R-HSA-199992; Golgi Associated Vesicle Biogenesis R-HSA-432722
15,Gap Junction Assembly R-HSA-190861,3,1.1138645643121547,Gap Junction Assembly R-HSA-190861; Gap Junction Trafficking And Regulation R-HSA-157858; Gap Junction Trafficking R-HSA-190828
16,Metallothioneins Bind Metals R-HSA-5661231,2,-2.0818153864203057,Metallothioneins Bind Metals R-HSA-5661231; Response To Metal Ions R-HSA-5660526
17,Mitochondrial Calcium Ion Transport R-HSA-8949215,2,-1.6841405592783647,Processing Of SMDT1 R-HSA-8949664; Mitochondrial Calcium Ion Transport R-HSA-8949215
18,Arachidonate Production From DAG R-HSA-426048,2,-1.1985295094780044,Arachidonate Production From DAG R-HSA-426048; Effects Of PIP2 Hydrolysis R-HSA-114508
19,rRNA Processing In Mitochondrion R-HSA-8868766,2,-1.3441997744626817,rRNA Processing In Mitochondrion R-HSA-8868766; rRNA Modification In Mitochondrion R-HSA-6793080
20,Purine Salvage R-HSA-74217,2,1.3464353370712319,Purine Salvage R-HSA-74217; Nucleotide Salvage R-HSA-8956321
21,Coenzyme A Biosynthesis R-HSA-196783,2,-1.2127933820553056,Vitamin B5 (Pantothenate) Metabolism R-HSA-199220; Coenzyme A Biosynthesis R-HSA-196783
22,RUNX3 Regulates WNT Signaling R-HSA-8951430,2,1.278744281544785,Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364; RUNX3 Regulates WNT Signaling R-HSA-8951430
23,Reversible Hydration Of Carbon Dioxide R-HSA-1475029,2,-1.3508567102530913,Erythrocytes Take Up Oxygen And Release Carbon Dioxide R-HSA-1247673; Reversible Hydration Of Carbon Dioxide R-HSA-1475029
24,Displacement Of DNA Glycosylase By APEX1 R-HSA-110357,2,-1.3016467356364825,Displacement Of DNA Glycosylase By APEX1 R-HSA-110357; Diseases Of Base Excision Repair R-HSA-9605308
25,N-Glycan Antennae Elongation R-HSA-975577,2,-1.20683461474552,N-Glycan Antennae Elongation R-HSA-975577; N-glycan Antennae Elongation In medial/trans-Golgi R-HSA-975576
26,DNA Damage Reversal R-HSA-73942,2,1.266568709824354,DNA Damage Reversal R-HSA-73942; Reversal Of Alkylation Damage By DNA Dioxygenases R-HSA-73943
27,SUMOylation Of Transcription Factors R-HSA-3232118,2,1.3100244798688627,TFAP2 (AP-2) Family Regulates Transcription Of Cell Cycle Factors R-HSA-8866911; SUMOylation Of Transcription Factors R-HSA-3232118
28,Transcriptional Regulation Of Pluripotent Stem Cells R-HSA-452723,2,-1.1466311400175202,"Transcriptional Regulation Of Pluripotent Stem Cells R-HSA-452723; POU5F1 (OCT4), SOX2, NANOG Repress Genes Related To Differentiation R-HSA-2892245"
29,Toxicity Of Botulinum Toxin Type F (botF) R-HSA-5250981,2,1.1220295291868068,Toxicity Of Botulinum Toxin Type F (botF) R-HSA-5250981; Toxicity Of Botulinum Toxin Type D (botD) R-HSA-5250955
30,Formation Of Cornified Envelope R-HSA-6809371,2,1.328796830941983,Keratinization R-HSA-6805567; Formation Of Cornified Envelope R-HSA-6809371
31,Mitochondrial tRNA Aminoacylation R-HSA-379726,1,-1.9265754500476728,Mitochondrial tRNA Aminoacylation R-HSA-379726
32,Tryptophan Catabolism R-HSA-71240,1,1.940845693353913,Tryptophan Catabolism R-HSA-71240
33,Synthesis Of Glycosylphosphatidylinositol (GPI) R-HSA-162710,1,-1.7098758851675098,Synthesis Of Glycosylphosphatidylinositol (GPI) R-HSA-162710
34,Retrograde Transport At Trans-Golgi-Network R-HSA-6811440,1,-1.7397526334288438,Retrograde Transport At Trans-Golgi-Network R-HSA-6811440
35,Mitochondrial Iron-Sulfur Cluster Biogenesis R-HSA-1362409,1,-1.5204164027321458,Mitochondrial Iron-Sulfur Cluster Biogenesis R-HSA-1362409
36,Linoleic Acid (LA) Metabolism R-HSA-2046105,1,1.4433830302404251,Linoleic Acid (LA) Metabolism R-HSA-2046105
37,Diseases Associated With Visual Transduction R-HSA-2474795,1,-1.4026551643802705,Diseases Associated With Visual Transduction R-HSA-2474795
38,Bicarbonate Transporters R-HSA-425381,1,-1.3281204095558636,Bicarbonate Transporters R-HSA-425381
39,Phenylalanine Metabolism R-HSA-8964208,1,1.2774658375985457,Phenylalanine Metabolism R-HSA-8964208
40,Phosphate Bond Hydrolysis By NUDT Proteins R-HSA-2393930,1,-1.1614829248740677,Phosphate Bond Hydrolysis By NUDT Proteins R-HSA-2393930
41,Molybdenum Cofactor Biosynthesis R-HSA-947581,1,-1.2028016480274846,Molybdenum Cofactor Biosynthesis R-HSA-947581
42,AKT Phosphorylates Targets In Cytosol R-HSA-198323,1,-1.2810204263667075,AKT Phosphorylates Targets In Cytosol R-HSA-198323
43,Miscellaneous Transport And Binding Events R-HSA-5223345,1,-1.066830962624845,Miscellaneous Transport And Binding Events R-HSA-5223345
44,Metabolism Of Folate And Pterines R-HSA-196757,1,1.091621977847114,Metabolism Of Folate And Pterines R-HSA-196757
45,Pentose Phosphate Pathway R-HSA-71336,1,-0.9781538550819412,Pentose Phosphate Pathway R-HSA-71336
46,HDMs Demethylate Histones R-HSA-3214842,1,-1.2171947215584438,HDMs Demethylate Histones R-HSA-3214842
47,SARS-CoV-2 Targets PDZ Proteins In Cell-Cell Junction R-HSA-9705677,1,-1.166762967952358,SARS-CoV-2 Targets PDZ Proteins In Cell-Cell Junction R-HSA-9705677
48,"BMAL1:CLOCK,NPAS2 Activates Circadian Gene Expression R-HSA-1368108",1,0.9296495732930002,"BMAL1:CLOCK,NPAS2 Activates Circadian Gene Expression R-HSA-1368108"
49,Methylation R-HSA-156581,1,1.0303189125938466,Methylation R-HSA-156581
50,Transport Of Fatty Acids R-HSA-804914,1,-1.1253643031022558,Transport Of Fatty Acids R-HSA-804914
51,RHO GTPases Activate Rhotekin And Rhophilins R-HSA-5666185,1,-1.1074885301281023,RHO GTPases Activate Rhotekin And Rhophilins R-HSA-5666185
52,Mitochondrial Uncoupling R-HSA-166187,1,0.9840708006611852,Mitochondrial Uncoupling R-HSA-166187
53,Conjugation Of Benzoate With Glycine R-HSA-177135,1,1.147554178792318,Conjugation Of Benzoate With Glycine R-HSA-177135
54,Processing And Activation Of SUMO R-HSA-3215018,1,-1.1403206577152254,Processing And Activation Of SUMO R-HSA-3215018
