gene,datasets,hedges_g,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,q_value
IGF2BP1,9,-0.4087484831279127,0.15263462105095765,-0.7079123403877896,-0.10958462586803569,0.0074073406222496104,0.1062952293714838,0.5235092807783108,down,1,8,0.8888888888888888,0.0390625,0.021279068086984536
B4GALT6,10,-0.37060022153316524,0.1384197077653218,-0.6419028487531959,-0.09929759431313451,0.007420352411922576,0.0987532541227461,0.5582336501742685,down,2,8,0.8,0.109375,0.021311545596946178
LINC00930,6,-0.5019510965155407,0.187520922615268,-0.869492104841466,-0.13441008818961542,0.007433479705318365,0.09399303506226371,0.4600828470575879,down,0,6,1.0,0.03125,0.021346793484142784
IPO11,10,0.5943023773487361,0.22204499750762371,0.15909418223379368,1.0295105724636786,0.007439662409465411,0.38143795082625515,0.8488557416783251,up,8,2,0.8,0.109375,0.02135963758773192
TNFRSF10B,10,0.8782978469937959,0.3281711450565418,0.23508240268297387,1.5215132913046179,0.007443090235867427,0.9545035807661146,0.9008907156718503,up,10,0,1.0,0.001953125,0.02136702334890878
HNF1A-AS1,5,-1.446004562476245,0.5404018776480426,-2.5051922426664084,-0.3868168822860816,0.007455226346050937,1.3812158914188457,0.9544808101485737,down,0,5,1.0,0.0625,0.021399403579305806
DCUN1D5,10,0.9160911497374272,0.34240599406253214,0.2449754013748643,1.58720689809999,0.007462833259448478,1.0408896040407412,0.8985991156754796,up,8,2,0.8,0.109375,0.021413856840602163
SLC5A12,10,-1.056645688733563,0.39507213163546107,-1.8309870667390666,-0.2823043107280593,0.007482649931524547,1.433335937134811,0.9315254001647165,down,2,8,0.8,0.109375,0.02146332276259211
HBB,10,0.26469867174569034,0.09897122726207129,0.07071506631203062,0.45868227717935006,0.0074840495604909536,0.020473624946592706,0.25735180299310334,up,8,2,0.8,0.109375,0.02146340674505842
BARD1,10,0.35306349676289817,0.13201173645686107,0.09432049330745046,0.6118065002183459,0.007484397588415351,0.0833459953104405,0.5149568302076211,up,9,1,0.9,0.021484375,0.02146340674505842
NAT8B,10,-1.4795878325579817,0.5533615600032845,-2.564176490164419,-0.394999174951544,0.007499324631877483,2.9196487474470163,0.9593544816338795,down,2,8,0.8,0.109375,0.02149880980364143
BFSP1,9,0.4797397110069386,0.1794415053352789,0.12803436054979195,0.8314450614640851,0.0075060726134853215,0.17871152061517093,0.6248432790720907,up,8,1,0.8888888888888888,0.0390625,0.021515685594661712
SPATA13,10,-0.5325569944022608,0.19920779366102861,-0.9230042699778769,-0.1421097188266447,0.007509241416700615,0.29159816718324316,0.7871764385387615,down,2,8,0.8,0.109375,0.021520626750473608
SLC39A2,10,-1.0103288585050798,0.377924465531823,-1.751060810947453,-0.2695969060627067,0.007509519370076396,1.3041838543452127,0.9335762280919832,down,2,8,0.8,0.109375,0.021520626750473608
RHCG,9,-0.33367438112930664,0.12482497862129287,-0.5783313392270406,-0.08901742303157262,0.007514535317745494,0.04496703998119265,0.3927164015476211,down,1,8,0.8888888888888888,0.0390625,0.021530061563550886
RUSF1,10,-0.27762140698842586,0.10386153134153103,-0.48119000841782666,-0.07405280555902505,0.007517725656565106,0.02806578158135239,0.28272658320365734,down,1,9,0.9,0.021484375,0.021532270655692774
