gene,datasets,rra_rho,rra_p,rra_rho_up,rra_p_up,rra_rho_down,rra_p_down,rra_q,rra_q_up,rra_q_down
GJA4,10,4.1949352978365135e-06,4.194935297836514e-05,2.065033197737304e-09,2.065033197737304e-08,0.9294555486317767,1.0,0.001838485590793929,2.0072604790924356e-06,1.0
HELB,9,4.671869355592308e-06,4.204682420033077e-05,4.59922435403075e-09,4.1393019186276754e-08,0.8884324155129641,1.0,0.001839530149471914,3.4699295714509386e-06,1.0
CPNE2,10,4.251230858473421e-06,4.251230858473421e-05,0.9181217987662728,1.0,1.0744899203288664e-08,1.0744899203288663e-07,0.001855513912913855,1.0,1.576741390048164e-05
PECAM1,10,4.256072503501217e-06,4.256072503501217e-05,5.502307299461952e-09,5.502307299461952e-08,0.9517360239174794,1.0,0.001855513912913855,4.376536166458053e-06,1.0
TRAM2,10,4.267224523316372e-06,4.267224523316372e-05,1.8528313683588706e-09,1.8528313683588705e-08,0.8416195698937188,1.0,0.001857134770330423,1.8440470284052965e-06,1.0
RGS5,10,4.34611043376115e-06,4.3461104337611504e-05,4.67420299010538e-09,4.67420299010538e-08,0.9678302383151831,1.0,0.0018881771260136923,3.85367210877302e-06,1.0
CS,10,4.390261622257551e-06,4.390261622257552e-05,0.9870426976696697,1.0,7.132258610463632e-09,7.132258610463633e-08,0.0019040473191947206,1.0,1.2459507157202238e-05
VNN1,10,4.479074894605839e-06,4.479074894605839e-05,4.9466165734131104e-09,4.94661657341311e-08,0.9884791010187426,1.0,0.0019378289103136259,4.038281981059899e-06,1.0
GATD3,10,4.488231057897048e-06,4.4882310578970475e-05,0.9884505609469224,1.0,7.157364303106699e-08,7.157364303106699e-07,0.0019378289103136259,1.0,5.999936834090887e-05
ZSWIM3,10,4.491425239468353e-06,4.491425239468353e-05,0.9926713750262973,1.0,3.444237208450363e-07,3.4442372084503626e-06,0.0019378289103136259,1.0,0.00017887835697359358
