library,term,datasets,combined_nes,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,median_gene_set_size,mean_lead_fraction,lead_genes_all,lead_genes_all_size,lead_genes_core,lead_genes_core_size,q_value
WikiPathway_2023_Human,Endochondral Ossification With Skeletal Dysplasias WP4808,10,1.2590151732815442,0.3565441210847616,0.5601886959554115,1.9578416506076768,0.00041373773227490755,0.8781447557042836,0.7367518369787799,up,9,1,0.9,0.021484375,63,0.40077918030232196,ACAN;ADAMTS1;ADAMTS4;ADAMTS5;AKT1;ALPL;BMP6;BMP7;BMPR1A;CDKN1C;CHST11;COL2A1;CST5;DDR2;FGF18;FGF2;FGFR1;FGFR3;FRZB;GH1;GHR;GLI3;HDAC4;HMGCS1;IGF1;IGF2;KIF3A;MEF2C;MGP;MMP13;MMP9;NKX3-2;PLAT;PLAU;PRKACA;PTCH1;PTHLH;RUNX2;RUNX3;SERPINH1;SLC38A2;SOX5;SOX9;SPP1;STAT1;STAT5B;TGFB1;TGFB2;THRA;TIMP3;VEGFA,51,ADAMTS1;ADAMTS5;ALPL;BMP6;BMP7;CHST11;DDR2;FGF2;FGFR1;IGF2;KIF3A;MGP;MMP9;PLAT;PLAU;PTHLH;RUNX2;RUNX3;SERPINH1;SLC38A2;SPP1;STAT1;TGFB1;TGFB2;TIMP3,25,0.0009648965023344608
GO_Biological_Process_2023,Regulation Of Intracellular Protein Transport (GO:0033157),10,1.2192376461091472,0.3452827521778248,0.5424834518406106,1.8959918403776839,0.0004137912181468611,6.046044289560042e-06,0.0,up,8,2,0.8,0.109375,36,0.2877777777777778,ATP13A2;B3GAT3;BMP4;CEP131;CEP290;ERGIC3;FRAT1;FRAT2;GCC2;ICE1;IFI27;KIF20B;LCP1;MBD1;NDEL1;OAZ1;OAZ2;PCNT;PLK3;PRR5L;PTPN1;PTPN14;RAB29;RIPOR1;SH3TC2;SIRT7;TGFB1;TPR;VAMP2;ZFAND1,30,ATP13A2;LCP1;NDEL1;PLK3;PTPN1;PTPN14;RIPOR1;SH3TC2;TGFB1,9,0.0009648965023344608
GO_Biological_Process_2023,Negative Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901991),10,1.0333183243283466,0.2926737042994343,0.4596778639014554,1.6069587847552378,0.0004145939177735854,3.716039283472694e-06,0.0,up,8,2,0.8,0.109375,40,0.3529411764705882,APC;AVEN;BRD7;CCL2;CDC73;CDK2AP2;CDKN1A;CRLF3;DACT1;DCUN1D3;DLG1;E2F7;FAM107A;FBXO5;FHL1;GFI1B;GPNMB;GPR132;INHBA;JADE1;KANK2;KLF4;MYO16;PINX1;PKD2;PRMT2;PTEN;RB1;RBL1;RBL2;RFPL1;RGCC;SLFN11;USP47;WEE1;ZFP36L1;ZFP36L2;ZNF655,38,CCL2;CRLF3;DACT1;DCUN1D3;FBXO5;GPNMB;INHBA;PKD2;RB1;RGCC;SLFN11,11,0.0009665409580825533
GO_Biological_Process_2023,Regulation Of Cytoplasmic Translational Elongation (GO:1900247),10,-1.2142050094535615,0.3439694982754159,-1.8883852260733767,-0.5400247928337463,0.0004155930914941707,6.081712343063598e-06,0.0,down,1,9,0.9,0.021484375,7,0.3795238095238095,CPEB3;DPH1;DPH2;DPH3;DPH5;DPH6;DPH7,7,CPEB3,1,0.0009686425722060891
GO_Biological_Process_2023,Negative Regulation Of Protein Secretion (GO:0050709),10,1.0838219425304283,0.3071506106618166,0.48180674563326775,1.6858371394275888,0.0004177111547341758,4.287010245856868e-06,0.0,up,9,1,0.9,0.021484375,39,0.2766025641025641,ADTRP;APOE;BMP8A;CCN3;CD200;CHGA;CYP51A1;DPH3;DRD4;ERP29;F2R;FAM3D;FOXO1;IL12A;IL12B;IL1B;INHBB;INS;IRS1;KCNB1;KCNJ11;MIDN;OPRM1;PRKN;PSMD9;RAB11FIP1;RAB11FIP3;RAB11FIP5;REST;RHBDF1;RHBDF2;RSAD2;SERGEF;SFRP1;SIRT4,35,APOE;CD200;F2R;IL1B;INHBB;IRS1;RAB11FIP5;RHBDF1;RHBDF2,9,0.0009731217338320849
Reactome_2022,Signaling By FGFR4 R-HSA-5654743,10,-1.2134773176650029,0.3439499700153724,-1.8876192588951328,-0.539335376434873,0.00041861180261797094,3.369540577177683e-06,0.0,down,1,9,0.9,0.021484375,40,0.33125,CBL;FGF1;FGF13;FGF16;FGF17;FGF18;FGF19;FGF20;FGF23;FGF4;FGF6;FGF8;FGF9;FGFR4;FRS2;FRS3;GRB2;KLB;MAPK1;MAPK3;MKNK1;NRAS;PIGU;PIK3R1;PLCG1;PPP2CA;PPP2CB;PPP2R1A;RPS27A;SHC1;SOS1;SPRY2;SRC;UBA52;UBB,35,FGF9;FRS2;FRS3;KLB;MAPK3;PIGU;PIK3R1;PPP2CB;SOS1;UBB,10,0.0009749908440115533
Reactome_2022,Activation Of Gene Expression By SREBF (SREBP) R-HSA-2426168,10,-1.2441801067464249,0.3527563115548118,-1.9355824773938561,-0.5527777360989937,0.00042025808355942296,0.42242706143251973,0.319124793632095,down,1,9,0.9,0.021484375,42,0.32174796747967477,ACACA;ACACB;CARM1;CHD9;CREBBP;CYP51A1;DAND5;DHCR7;ELOVL6;FASN;FDFT1;FDPS;GGPS1;GPAM;HELZ2;HMGCR;HMGCS1;IDI1;LIN9;LMBR1;MBD4;MVD;MVK;NCOA1;NCOA2;NCOA6;NFYA;NFYB;NFYC;PKMYT1;PMVK;PPARA;RXRA;SC5D;SCD;SMARCD3;SQLE;SREBF1;SREBF2;TBL1X;TBL1XR1;TM7SF2,42,ACACB;GPAM;HMGCR;NCOA2;NCOA6;PPARA;RXRA;SC5D;SREBF2,9,0.0009785953260901077
GO_Biological_Process_2023,Lamellipodium Assembly (GO:0030032),10,1.1435786457644401,0.324266655107753,0.5080160017532442,1.779141289775636,0.00042083482477793614,6.3332024615554615e-06,0.0,up,8,2,0.8,0.109375,25,0.33638095238095245,ABLIM2;ABLIM3;ARFIP2;ARHGEF4;ARHGEF6;ARHGEF7;CARMIL1;CCDC88A;CDH13;CYFIP1;DMTN;ITGB1;KIT;P2RY12;PARVB;PTPRO;RAC1;RHOD;S1PR1;SPEF1;SRGAP3;VCL;WHAMM,23,ABLIM3;ARHGEF6;CCDC88A;CDH13;ITGB1;KIT;PARVB;S1PR1;VCL,9,0.000979708214997238
GO_Biological_Process_2023,Phospholipid Translocation (GO:0045332),10,1.1161553619862996,0.31668870183521947,0.49544550638926943,1.73686521758333,0.0004243534528915055,6.285099943767074e-06,0.0,up,9,1,0.9,0.021484375,30,0.36333333333333334,ABCA4;ABCA7;ABCB1;ABCB4;ABCC1;ANO6;ATP10B;ATP10D;ATP11A;ATP11B;ATP11C;ATP8A1;ATP8A2;ATP8B2;ATP8B3;ATP9A;ATP9B;MFSD2A;P2RX7;PLSCR1;PLSCR2;PLSCR3;PLSCR4;SLC66A2;TMEM30A;TMEM30B;TRIAP1,27,ABCA7;ABCC1;ATP10D;ATP11A;ATP11B;ATP11C;ATP8B2;MFSD2A;P2RX7;PLSCR1;PLSCR3;TMEM30A,12,0.00098766771958199
Reactome_2022,Defective CHST3 Causes SEDCJD R-HSA-3595172,10,1.2759351378839416,0.3622230228562577,0.5659780130856766,1.9858922626822066,0.00042747682858640845,0.815353080599782,0.6683630994696842,up,9,1,0.9,0.021484375,8,0.5660714285714286,BCAN;BGN;CHST3;CSPG4;CSPG5;DCN;NCAN;VCAN,8,BGN;CHST3;DCN;VCAN,4,0.0009944703790319663
GO_Biological_Process_2023,Positive Regulation Of Histone Acetylation (GO:0035066),10,-1.2133223718175696,0.34459059407122555,-1.8887199361971718,-0.5379248074379676,0.00042983374591253434,6.257905996430375e-06,0.0,down,1,9,0.9,0.021484375,14,0.30476190476190473,BAZ1B;BRCA1;DDX21;ERCC6;FOXP3;GLYR1;MUC1;MYBBP1A;NOS1;PPARGC1A;SF3B1;SMAD4;SMARCA5,13,ERCC6;GLYR1;PPARGC1A;SMAD4,4,0.0009996650177810026
GO_Biological_Process_2023,Positive Regulation Of Macrophage Activation (GO:0043032),10,1.2630542765242523,0.3587196242946903,0.5599638129066593,1.9661447401418453,0.00042991141057167876,4.792052296818127e-06,0.0,up,9,1,0.9,0.021484375,16,0.2932692307692307,CEBPA;EHHADH;IL33;IRGM;KARS1;MMP8;SPACA3;THBS1;TLR4;TLR6;TNIP2;TREM2;TTBK1;WNT5A,14,IL33;TLR4;WNT5A,3,0.0009996650177810026
GO_Biological_Process_2023,Regulation Of Protein Localization To Centrosome (GO:1904779),10,1.262793445068236,0.3586794409612603,0.5597817407841659,1.9658051493523063,0.000430451187048881,3.7614592763863897e-06,0.0,up,9,1,0.9,0.021484375,9,0.4968253968253967,BICD1;CEP250;CEP72;GSK3B;MARK4;NSFL1C;NUP62;PARD6A;UBXN2B,9,BICD1;CEP72;MARK4;NUP62;PARD6A,5,0.001000685467664632
WikiPathway_2023_Human,FGFR3 Signaling In Chondrocyte Proliferation And Terminal Differentiation WP4767,10,-1.275630317897278,0.36254134042699465,-1.9862113451341876,-0.5650492906603686,0.00043386474861518135,5.9608609865491405e-06,0.0,down,0,10,1.0,0.001953125,27,0.27338772338772344,ATG5;BMP2;BMP4;CDKN1A;CNP;FGF9;FGFR3;IHH;MAP2K1;MAP2K2;MAPK1;MAPK11;MAPK13;MAPK14;MAPK3;NPR2;PPP2CA;PTH1R;RAF1;SOX9;THRA,21,FGF9;FGFR3;IHH;MAPK3;RAF1;THRA,6,0.0010083846653819793
GO_Biological_Process_2023,Eye Photoreceptor Cell Differentiation (GO:0001754),10,1.2889084468549221,0.3664725256872876,0.5706222965078385,2.0071945972020058,0.0004363435349708325,4.9701637253709885e-06,0.0,up,9,1,0.9,0.021484375,12,0.35,CEP290;DSCAM;DZANK1;MYO7A;NKD1;PROM1;RORB;SDK2;STAT3;TH;TULP1;VEGFA,12,MYO7A;SDK2;STAT3,3,0.001013908167151583
GO_Biological_Process_2023,Regulation Of ERAD Pathway (GO:1904292),10,-1.2124783326247695,0.344872198413768,-1.8884278415157547,-0.5365288237337842,0.0004385428986095202,6.4849978305080975e-06,0.0,down,1,9,0.9,0.021484375,10,0.4255555555555556,ATXN3;BAG6;HERPUD1;RNF185;RNFT1;TMEM259;UBXN1;USP13;USP19;USP25,10,BAG6;RNF185;UBXN1;USP19;USP25,5,0.0010187799530724914
GO_Biological_Process_2023,Negative Regulation Of Cell Cycle Process (GO:0010948),10,-1.2230610181903698,0.3479916276618627,-1.9051246084076208,-0.5409974279731189,0.00044037086734059305,5.9608609865491405e-06,0.0,down,0,10,1.0,0.001953125,34,0.3207847363083164,AURKAIP1;AURKB;BAZ1B;BMP4;CHEK1;CHMP2A;CHMP4C;DAB2IP;DUX4L1;E2F8;ESPL1;FBXO43;FOXO4;GPER1;KIF25;NEK2;NME6;PPP1R10;SMARCA5;TERF1;TERF2;TOM1L1;TOM1L2;TP53;VPS4A;WAPL;ZFYVE19,27,CHMP2A;CHMP4C;DAB2IP;FOXO4;TERF2;TOM1L1;TOM1L2;VPS4A;ZFYVE19,9,0.0010227868703869712
KEGG_2021_Human,ABC transporters,10,-1.0407905447125063,0.29628187579187987,-1.621503021264591,-0.46007806816042174,0.0004433459421635877,3.8547245984922144e-06,0.0,down,2,8,0.8,0.109375,44,0.34266122766122764,ABCA1;ABCA10;ABCA12;ABCA2;ABCA3;ABCA4;ABCA5;ABCA6;ABCA7;ABCA8;ABCA9;ABCB1;ABCB10;ABCB11;ABCB4;ABCB5;ABCB6;ABCB7;ABCB8;ABCB9;ABCC1;ABCC10;ABCC11;ABCC12;ABCC2;ABCC3;ABCC4;ABCC5;ABCC6;ABCC8;ABCC9;ABCD1;ABCD2;ABCD3;ABCD4;ABCG1;ABCG2;ABCG4;ABCG5;ABCG8;CFTR;DEFB1;TAP1;TAP2,44,ABCA2;ABCA5;ABCA8;ABCB1;ABCB10;ABCB11;ABCB7;ABCC6;ABCD3;ABCG2;DEFB1,11,0.0010294555073892206
GO_Biological_Process_2023,Positive Regulation Of Interleukin-5 Production (GO:0032754),10,-1.2610038024500232,0.3590116132439737,-1.9646665644082115,-0.5573410404918347,0.0004440259685004516,5.888896203655927e-06,0.0,down,2,8,0.8,0.109375,6,0.3433333333333333,GATA3;IL9;PDE4D;PRKCZ;RARA;TSLP,6,PRKCZ;RARA,2,0.0010307931345544317
