dataset,library,Term,ES,NES,NOM p-val,FDR q-val,gene_set_size,n_leading_edge,Lead_genes,rank
GSE75214,Reactome_2022,Peroxisomal Lipid Metabolism R-HSA-390918,-0.7084994562495464,-2.273617221433572,0.0,0.0,28,20,AMACR;ACOX1;CROT;SLC27A2;PHYH;ALDH3A2;NUDT7;EHHADH;ACOT4;ACOT8;CRAT;ACBD5;PECR;SYCP2;HAO2;ACOX3;HSD17B4;MLYCD;ACOX2;ACBD4,31
GSE75214,Reactome_2022,Influenza Infection R-HSA-168255,0.4883784350291112,2.264151773210662,0.0,8.43043320980205e-05,157,86,RPLP2;RPL23;RPSA;RPL27A;RPL3;RPS19;RPS2;RPL30;RPL18A;RPS11;NUP188;RPS28;POLR2L;RPL13A;POM121C;POM121;RPS25;RPL36;RPS20;RPS13;UBA52;NUP35;RPL32;RPL27;NUP214;RPL39;SEC13;RPS8;RPL11;RPLP0;RPS15;RPL37A;RPS3;RPS21;NUP58;TGFB1;RPL29;RPS12;RPL38;RPS3A;RPS16;AAAS;RPL12;NUP62;RPL39L;RPLP1;RPL21;RPS27;RPL35;NUP98;RPL10A;POLR2C;RPS27A;NUP160;RPL35A;PARP1;CPSF4;POLR2D;KPNB1;POLR2A;RPL7;POLR2G;RPL22L1;RPL18;GNL3;RPS24;RPS7;RPS15A;NUP210;RPS9;RPS17;NUP205;RPL9;NUP153;RANBP2;XPO1;RPL15;RPL34;RPS5;KPNA2;RAN;RPL36AL;RPS29;RPL14;RPS4Y2;KPNA5,32
GSE75214,Reactome_2022,Triglyceride Metabolism R-HSA-8979227,-0.6654120687796538,-2.254233175041437,0.0,0.0,36,20,ABHD5;FABP1;FABP3;GK;PPP1CC;GK3;MGLL;LPIN2;MOGAT3;PPP1CB;GPAM;FABP2;PRKACB;LPIN3;PLIN1;GPD2;PLIN3;AGMO;FABP7;MOGAT2,33
GSE75214,Reactome_2022,Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,0.5047107702615098,2.236957610306378,0.0,8.129346309451976e-05,112,61,RPLP2;RPL23;RPSA;RPL27A;RPL3;RPS19;RPS2;RPL30;RPL18A;RPS11;RPS28;RPL13A;RPS25;RPL36;RPS20;RPS13;UBA52;RPL32;RPL27;RPL39;RPS8;SMG9;RPL11;RPLP0;RPS15;RPL37A;RPS3;PABPC1;RPS21;RPL29;RPS12;RPL38;RPS3A;RPS16;RPL12;RPL39L;RPLP1;RPL21;RPS27;ETF1;RPL35;EIF4G1;RPL10A;RPS27A;RPL35A;PPP2R1A;SMG6;RPL7;RNPS1;RPL22L1;RPL18;RPS24;RPS7;RPS15A;RPS9;RPS17;RPL9;DCP1A;RPL15;RPL34;RPS5,34
GSE75214,Reactome_2022,Ribosomal Scanning And Start Codon Recognition R-HSA-72702,0.5711251393712253,2.2355607296944173,0.0,7.84902402291915e-05,57,41,RPSA;RPS19;RPS2;RPS11;EIF3B;RPS28;EIF4A1;RPS25;RPS20;RPS13;RPS8;EIF2S3;RPS15;RPS3;RPS21;RPS12;RPS3A;RPS16;EIF3C;RPS27;EIF4G1;RPS27A;EIF3I;EIF3D;EIF3M;EIF3F;RPS24;RPS7;RPS15A;RPS9;RPS17;EIF3K;RPS5;EIF4B;EIF4A2;RPS29;RPS4Y2;EIF4E;RPS10;EIF3L;RPS14,35
GSE75214,Reactome_2022,Fatty Acid Metabolism R-HSA-8978868,-0.4875441066976723,-2.224523058829308,0.0,0.00025323450842221055,171,65,SLC25A20;PPARD;SLC22A5;AMACR;ACOX1;ACADM;HSD17B3;ACAA2;HADHA;ACSL5;CROT;CPT1A;HADHB;HPGD;PTGR1;CPT2;PCCA;HACD2;DPEP1;SLC27A2;PHYH;ALDH3A2;ACOT13;ACSF2;CBR4;ACADVL;MMUT;HPGDS;ACADS;PRKAB2;NUDT7;HADH;EHHADH;CYP2C9;ACOT4;NDUFAB1;ACOT8;CRAT;ACBD5;PECR;SYCP2;DECR1;ALOX15B;HAO2;AKR1C3;CYP2C19;ACAD11;ACAD10;ELOVL1;ACOX3;ACOT11;DBI;LTA4H;ACSL1;PTGES3;PCTP;ECHS1;ACOT12;EPHX2;GGT1;CYP4F2;HSD17B4;MLYCD;ALOX15;ACOX2,36
GSE75214,Reactome_2022,Generation Of Second Messenger Molecules R-HSA-202433,0.6368907943489387,2.215787022519819,0.0,0.00011381084833232767,32,20,PKN1;ENAH;HLA-DRB5;HLA-DRB1;HLA-DRB3;HLA-DRB4;HLA-DRA;HLA-DQA1;ITK;HLA-DQB2;CD3D;EVL;HLA-DPA1;VASP;LCK;CD3E;ZAP70;HLA-DQA2;LCP2;GRAP2,37
GSE75214,Reactome_2022,Peroxisomal Protein Import R-HSA-9033241,-0.5784965344085488,-2.2119467156658543,0.0,0.00022158019486943426,62,32,AMACR;ACOX1;PEX26;CROT;SLC27A2;PHYH;NUDT7;EHHADH;ZFAND6;ECH1;USP9X;ACOT4;GNPAT;ACOT8;CRAT;PECR;SYCP2;IDH1;IDE;PEX2;HAO2;PEX13;ACOX3;ZNF260;EPHX2;HSD17B4;MLYCD;ACOX2;AGPS;UBE2D2;UBE2D3;DAO,38
GSE75214,Reactome_2022,Pyruvate Metabolism R-HSA-70268,-0.6718574169063279,-2.211498994748201,0.0,0.0001969601732172749,31,14,PPARD;SLC16A1;PDK4;PDHX;BSG;VDAC1;MPC1;PDK3;PDHA1;PDK2;PLPP6;PDPK1;LDHA;MPC2,39
GSE75214,Reactome_2022,Pyruvate Metabolism And Citric Acid (TCA) Cycle R-HSA-71406,-0.5981017171247599,-2.211234030487802,0.0,0.0001772641558955474,54,23,PPARD;SLC16A1;FAHD1;PDK4;PDHX;BSG;VDAC1;MPC1;PDK3;IDH3G;PDHA1;PDK2;SUCLG2;L2HGDH;ACO2;SUCLA2;SDHD;SUCLG1;PLPP6;PDPK1;LDHA;SDHB;MPC2,40
