library,term,gene,n_datasets_in_lead,n_datasets_tested,lead_frequency,gene_hedges_g,gene_q_value,gene_direction,gene_datasets
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCC2,1,3,0.3333333333333333,-0.2704782914699698,0.8441021060486968,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMA7,1,3,0.3333333333333333,-0.29140001947776956,0.7399141289898692,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMA1,1,3,0.3333333333333333,-0.17695506270416234,0.8677786742875507,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCA5,1,3,0.3333333333333333,-0.18599844353621034,0.8533581372144211,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCB10,1,3,0.3333333333333333,-0.21700760176862355,0.776960739282251,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCB7,1,3,0.3333333333333333,-0.4141234330304472,0.5872388346217228,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCC6,1,3,0.3333333333333333,-0.26666561223999186,0.7629158300646474,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCA10,1,3,0.3333333333333333,-0.04410222700682898,0.9633820106248897,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMA2,1,3,0.3333333333333333,-0.22573528508776572,0.7604314228499922,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCC5,1,3,0.3333333333333333,-0.21985401794723966,0.7485863154131623,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMD14,1,3,0.3333333333333333,0.037884153168994676,0.9385822591617469,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PEX3,1,3,0.3333333333333333,-0.2878437787006379,0.663463797865605,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PEX19,1,3,0.3333333333333333,-0.2555531798622406,0.7001351478423798,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,DERL3,1,3,0.3333333333333333,0.18747370628152235,0.7810178777451473,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GNG11,3,3,1.0,0.5277964650597219,0.025263221630434592,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,ADM2,3,3,1.0,0.3689192931763264,0.19996896030902153,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,CALCRL,3,3,1.0,0.5519817020123511,0.18497766842489785,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GCG,3,3,1.0,0.4542929980633252,0.4254247346244619,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,ADCY7,3,3,1.0,0.2959021590997649,0.37852171798672984,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,CHGA,2,3,0.6666666666666666,0.37796804399608497,0.62232577737895,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,CYSLTR2,2,3,0.6666666666666666,0.35848691439647895,0.4663223752906169,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,RXFP2,2,3,0.6666666666666666,0.3307214811825475,0.29001239566589737,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,ADRB2,2,3,0.6666666666666666,0.3180946001591723,0.3178539471369539,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,NLRP3,2,3,0.6666666666666666,0.29857564053211605,0.3717118869002129,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,PTGER4,2,3,0.6666666666666666,0.5566383906068808,0.6759070352477372,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,ADM,2,3,0.6666666666666666,0.390416267793735,0.42839894908806386,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,C1QTNF1,2,3,0.6666666666666666,0.6025224627644449,0.6033362933763676,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,NPSR1,2,3,0.6666666666666666,0.565480312156913,0.48922423302679313,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,GNAZ,2,3,0.6666666666666666,0.5506986999588942,0.4316835234041752,up,3
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,RAMP3,2,3,0.6666666666666666,0.6071202074737805,0.5580352787432646,up,3
