gene,datasets,rra_rho,rra_p,rra_rho_up,rra_p_up,rra_rho_down,rra_p_down,rra_q,rra_q_up,rra_q_down
VEZT,3,0.4532855324547966,1.0,0.5711304776449255,1.0,0.2297995340379251,0.6893986021137753,1.0,1.0,1.0
TICAM1,3,0.37461890494557065,1.0,0.6027017760802721,1.0,0.09052356287448378,0.27157068862345135,1.0,1.0,1.0
TIGAR,3,0.5280519625678908,1.0,0.38890125134954945,1.0,0.3622573467818975,1.0,1.0,1.0,1.0
TSGA13,3,0.6991001995778999,1.0,0.3080869496666378,0.9242608489999133,0.47948854102158855,1.0,1.0,1.0,1.0
SCML4,3,0.9309942188921387,1.0,0.1863850564800635,0.5591551694401905,0.219444828729107,0.658334486187321,1.0,1.0,1.0
SCN10A,3,0.7388558313982273,1.0,0.18463644101146634,0.553909323034399,0.3725160537914785,1.0,1.0,1.0,1.0
TSHB,3,0.5443111349573077,1.0,0.4287701854007599,1.0,0.5200225256729064,1.0,1.0,1.0,1.0
TSHR,3,0.4632877171913842,1.0,0.05707247838740653,0.1712174351622196,0.7296026241862956,1.0,1.0,1.0,1.0
TIFA,3,0.5334355293345124,1.0,0.07668751012394087,0.23006253037182262,0.4639397868107374,1.0,1.0,1.0,1.0
SCN11A,3,0.5160414419381117,1.0,0.4209697755007007,1.0,0.35479616121236046,1.0,1.0,1.0,1.0
SCN1A,3,0.5179305095531841,1.0,0.4798778539594296,1.0,0.06535195555344235,0.19605586666032704,1.0,1.0,1.0
TSHZ1,3,0.6419553276645398,1.0,0.6177800507304654,1.0,0.10441866437905375,0.31325599313716124,1.0,1.0,1.0
UBE2T,3,0.5071546064307286,1.0,0.25499384291525773,0.7649815287457732,0.05067926215306685,0.15203778645920055,1.0,1.0,1.0
TSPAN17,3,0.3426810570107663,1.0,0.1991702924782642,0.5975108774347926,0.41945330822654525,1.0,1.0,1.0,1.0
SCN1B,3,0.5324298339870861,1.0,0.31867751294135915,0.9560325388240775,0.34115329792644755,1.0,1.0,1.0,1.0
SCN2A,3,0.3749469363564217,1.0,0.29673589413624346,0.8902076824087304,0.3480241829366715,1.0,1.0,1.0,1.0
TSLP,3,0.3904355025035688,1.0,0.3313651686183402,0.9940955058550206,0.5466363626506863,1.0,1.0,1.0,1.0
VEPH1,3,0.5366976323066435,1.0,0.508083817149927,1.0,0.3104538018489398,0.9313614055468193,1.0,1.0,1.0
SCN3A,3,0.5675107910501527,1.0,0.37700082522809986,1.0,0.3617187581615847,1.0,1.0,1.0,1.0
TSNARE1,3,0.40394795406163697,1.0,0.126144007241061,0.378432021723183,0.508531974890055,1.0,1.0,1.0,1.0
