gene,datasets,hedges_g,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,q_value
MAGEC2,3,0.03333636987424826,0.1389910714939028,-0.2390861302538012,0.30575887000229773,0.8104501057831281,0.0,0.0,up,2,1,0.6666666666666666,1.0,0.9393881572363697
LINC01548,1,-0.06556982452480621,0.27343618330659214,-0.6015047438057268,0.47036509475611443,0.8104857952983497,0.0,0.0,down,0,1,1.0,,0.9393881572363697
LINC00442,2,-0.0359800747000468,0.15020805532363624,-0.33038786313437385,0.2584277137342802,0.8106908212311996,0.0,0.0,up,1,1,0.5,1.0,0.9395505765089559
CBLN2,3,0.03330247760507162,0.13904467776920065,-0.23922509082256163,0.30583004603270486,0.810710774239678,0.0,0.0,up,2,1,0.6666666666666666,1.0,0.9395505765089559
ISG20L2,3,0.09795465628240793,0.4092001657259421,-0.7040776685404385,0.8999869811052544,0.8108103294477191,0.42154643595165014,0.8391346678947638,up,2,1,0.6666666666666666,1.0,0.9396167843796053
ERMP1,3,-0.03326092778134533,0.13898223436651805,-0.3056661071397207,0.23914425157703006,0.8108591348841322,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9396241764482458
BRD7,3,0.0383355210204467,0.1602390746696401,-0.2757330653320479,0.35240410737294126,0.8109198514382081,0.014738536505627875,0.23506520672095474,up,2,1,0.6666666666666666,1.0,0.9396453696333383
REV1,3,0.045915853488627915,0.19210578572755221,-0.33061148653737443,0.4224431935146303,0.8110952063431618,0.04367643409171771,0.3770222267647218,down,1,2,0.6666666666666666,1.0,0.9397241566649768
ZNRF2P1,3,0.03915905956990962,0.16384739555297928,-0.28198183571392976,0.360299954853749,0.8111077974284018,0.017468868468722767,0.40485159607339627,down,1,2,0.6666666666666666,1.0,0.9397241566649768
PFDN4,3,-0.08154442119423452,0.34131977336277936,-0.750531176985282,0.5874423345968129,0.811176020631944,0.27162460241006603,0.7935969154587004,down,1,2,0.6666666666666666,1.0,0.9397241566649768
ANKRD20A2P,3,-0.04883599139359004,0.2044283866811577,-0.4495156292886591,0.3518436465014791,0.8111905230049437,0.05662420840307403,0.46451020833101286,up,2,1,0.6666666666666666,1.0,0.9397241566649768
RDH8,3,0.033208197436403686,0.1390172575505747,-0.23926562736272272,0.3056820222355301,0.8112000012245915,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9397241566649768
SUN5,3,0.033180498054379295,0.13901162717941687,-0.2392822912172778,0.30564328732603635,0.8113470160097234,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9397246153683875
TMEM143,3,-0.08353811841471057,0.3500965656422483,-0.7697273870735172,0.602651150244096,0.8114045172815864,0.28935051047171145,0.781274695867191,up,2,1,0.6666666666666666,1.0,0.9397246153683875
TNFRSF9,3,-0.03317394869010983,0.13902868184855174,-0.3056701651132712,0.23932226773305157,0.8114062536402187,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9397246153683875
SPRR4,3,0.03314115989995257,0.1389410625651183,-0.2391833227276793,0.30546564252758446,0.8114725715752629,0.0,0.0,up,2,1,0.6666666666666666,1.0,0.9397246153683875
SEC61G,3,0.04790958603897368,0.20089813449020344,-0.3458507575618251,0.4416699296397724,0.8115111459107385,0.053012901279248605,0.41958729593942734,down,1,2,0.6666666666666666,1.0,0.9397246153683875
USP27X-DT,2,0.0785213863603373,0.329267703328279,-0.5668433121630895,0.7238860848837642,0.8115144206425549,0.11493284366025984,0.5195220878581873,up,1,1,0.5,1.0,0.9397246153683875
HSP90AB4P,1,0.0874535709003411,0.36674217678836474,-0.6313610956048538,0.806268237405536,0.8115238465877581,0.0,0.0,up,1,0,1.0,,0.9397246153683875
CRYGC,3,0.03313222313091542,0.13901850024971973,-0.23934403735853527,0.3056084836203661,0.8116254675722243,0.0,0.0,up,2,1,0.6666666666666666,1.0,0.9397246153683875
SLC17A6,3,-0.07084534318343894,0.29727127168818057,-0.6534970356922728,0.5118063493253949,0.8116338138324184,0.18874597938822313,0.6684819290204469,up,2,1,0.6666666666666666,1.0,0.9397246153683875
FRMD8,3,0.033142243065456496,0.13911645985571303,-0.23952601825174102,0.305810504382654,0.8116997619944046,0.0,0.0,up,2,1,0.6666666666666666,1.0,0.9397246153683875
SH3BP5L,3,0.05979967412295824,0.2510171382185334,-0.4321939167853672,0.5517932650312837,0.8117031387777298,0.11640789605348724,0.645057562970944,up,2,1,0.6666666666666666,1.0,0.9397246153683875
TERF1,3,-0.06085479116831674,0.2554550280259812,-0.5615466460992399,0.43983706376260645,0.811709572041236,0.12269283404224757,0.648143621035356,down,1,2,0.6666666666666666,1.0,0.9397246153683875
ZFP1,3,0.06483229407238861,0.27226553847466,-0.46880816133794495,0.5984727494827222,0.8117868151056262,0.14832790525122427,0.703315100086299,up,2,1,0.6666666666666666,1.0,0.9397548651383115
MAP3K21,3,0.03308753398039048,0.13897768103067587,-0.2393087208397342,0.3054837888005152,0.8118205662087947,0.0,0.0,up,2,1,0.6666666666666666,1.0,0.9397548651383115
GLP1R,3,0.06689866975294607,0.28111454762854576,-0.4840858435990036,0.6178831831048958,0.8118992833960648,0.1622449052523908,0.6963933679370706,down,1,2,0.6666666666666666,1.0,0.9397927922887201
LOXHD1,3,-0.03490860601826902,0.14679272277662672,-0.32262234266045736,0.25280513062391935,0.8120293678543442,0.004967065471962787,0.0,down,1,2,0.6666666666666666,1.0,0.9397927922887201
FAM83C,3,-0.08181146323599785,0.3441115892691619,-0.7562701782035552,0.5926472517315595,0.8120774062818528,0.2764797409524397,0.7341679231362854,up,2,1,0.6666666666666666,1.0,0.9397927922887201
HCAR1,2,0.05219120451420403,0.21956323166854494,-0.3781527295561441,0.4825351385845521,0.8121101649244693,0.0,0.0,up,1,1,0.5,1.0,0.9397927922887201
ITSN2,3,-0.035637430453707666,0.14992492474488164,-0.32949028295367566,0.25821542204626036,0.8121123565607801,0.007044825673726259,0.18635719282542826,down,1,2,0.6666666666666666,1.0,0.9397927922887201
C12orf43,3,-0.033077873414087675,0.1392019097549873,-0.3059136165338628,0.2397578697056874,0.8121718493657963,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9397927922887201
