Supplementary Table 2: Differential expression results (DESeq2) of ulcerative colitis patients vs healthy controls. (i) UC vs CON);;;;;;
row;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
GRK6;506.8867658;0.329194229;0.03676336;8.954410737;3.41555E-19;1.65356E-17
TAF10;327.4662078;0.265763088;0.029682804;8.953436002;3.44586E-19;1.66117E-17
SLC11A1;1177.832104;0.648470466;0.072448954;8.950722321;3.53164E-19;1.69533E-17
FTL;6943.673713;0.496520683;0.055479657;8.949598986;3.56776E-19;1.70548E-17
ATXN7;1052.734321;0.327590828;0.036606144;8.949066715;3.585E-19;1.70655E-17
GPS2;76.97362628;0.561619933;0.062773886;8.946712807;3.66226E-19;1.73606E-17
AC104451.2;20.90145331;0.991076604;0.110856545;8.940172209;3.88564E-19;1.83431E-17
HNRNPR;367.8947141;-0.382218553;0.042774452;-8.935673956;4.04704E-19;1.90261E-17
PLIN5;141.3457587;0.71678484;0.080310286;8.92519351;4.44921E-19;2.08307E-17
MLTK;154.7517153;0.583818643;0.06544343;8.920966499;4.62236E-19;2.14987E-17
FAM193B;86.30267424;0.572357274;0.064159922;8.920791282;4.62968E-19;2.14987E-17
CR1;102.0768093;0.758775181;0.085085758;8.917769527;4.75773E-19;2.20035E-17
CYBA;246.1678137;0.434566843;0.048789838;8.906912938;5.24732E-19;2.41696E-17
RP11.443B7.1;69.78248479;0.740020455;0.083128672;8.902108423;5.47957E-19;2.51375E-17
PPP2R2A;389.0082238;0.34327317;0.038576396;8.898528685;5.65919E-19;2.58573E-17
HMBOX1.IT1;35.15510593;0.858241125;0.09645673;8.897680062;5.70261E-19;2.59514E-17
HRH2;525.5305839;0.646156485;0.072627067;8.896910143;5.7423E-19;2.60279E-17
MT.RNR1;6378.823104;0.533803373;0.06002555;8.892936041;5.95151E-19;2.68692E-17
SLBP;130.8008642;-0.501175178;0.056390928;-8.887514343;6.24912E-19;2.81013E-17
AL512428.1;1822.106651;0.490312335;0.055204785;8.881699954;6.58462E-19;2.93778E-17
TMEM66;1296.674216;-0.526517611;0.059279091;-8.882012251;6.56616E-19;2.93778E-17
IL2RB;279.7878092;-0.654638781;0.073714456;-8.880738126;6.64181E-19;2.95172E-17
NDUFB11.1;267.406794;0.350377471;0.039473997;8.876158915;6.92089E-19;3.06377E-17
RPS5;2486.362808;0.45225006;0.051039304;8.860819452;7.94284E-19;3.50255E-17
GPSM3;1225.206962;0.486369935;0.054934519;8.85363057;8.47175E-19;3.72135E-17
ALKBH7;128.3397917;0.408786557;0.046180455;8.851938632;8.6012E-19;3.76369E-17
NCF4;1078.162061;0.550210766;0.062256389;8.837820107;9.76043E-19;4.25457E-17
UBC;4583.172173;0.285579631;0.032367359;8.823074948;1.11359E-18;4.83561E-17
WSB1;1477.833176;0.421053544;0.047727828;8.821971547;1.12462E-18;4.86494E-17
RP11.169K16.9;163.7613034;0.413039894;0.046826847;8.820578784;1.1387E-18;4.90718E-17
RP11.373D23.2;61.45023037;0.814562654;0.092390383;8.816530785;1.18061E-18;5.06859E-17
CFLAR;2380.69418;0.373298259;0.042385246;8.807268885;1.28232E-18;5.48456E-17
