Supplementary Table 3: Differential expression results (DESeq2) of primary sclerosing cholangitis patients with and without UC comorbidity vs healthy controls. (ii) PSC alone + PSC/UC vs CON);;;;;;
row;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
BTF3;920.5317275;0.324631254;0.071716248;4.526606783;5.99383E-06;0.00015324
CDK13;160.7057267;-0.192872007;0.042613061;-4.526124266;6.00753E-06;0.000153246
APOA1BP;120.0164825;-0.279472515;0.061830052;-4.520010971;6.18364E-06;0.000155918
RP11.295G20.2;36.15950941;0.523630741;0.115868755;4.519171196;6.20822E-06;0.000155918
CBX5;148.7795612;-0.282442398;0.062494313;-4.51948961;6.19889E-06;0.000155918
FPR1;4222.371467;0.373279218;0.08258805;4.519772757;6.1906E-06;0.000155918
RTN4;1577.669824;0.196403978;0.043457764;4.519422118;6.20087E-06;0.000155918
MYD88;569.2211359;0.295782386;0.065426941;4.520804129;6.16052E-06;0.000155918
AOAH;454.2913998;0.247871507;0.054838598;4.520019073;6.18341E-06;0.000155918
TMCC2;287.4263883;0.725537436;0.160599687;4.517676538;6.25219E-06;0.000156677
SCML4;349.7440802;-0.257486509;0.057016891;-4.515968923;6.30279E-06;0.000157597
CTD.2267D19.2;57.47996993;0.456281415;0.101051449;4.51533769;6.32159E-06;0.000157721
SUPT4H1;785.9283908;0.191749954;0.042504235;4.511314126;6.44272E-06;0.000160041
SPIN1;119.4786366;-0.268683118;0.059554398;-4.511557954;6.43532E-06;0.000160041
DENND5A;357.2705375;0.267764105;0.059381192;4.509240952;6.506E-06;0.000161261
TMEM158;182.0132405;0.830012445;0.1842545;4.50470651;6.64647E-06;0.000164385
MLLT6;452.6367006;-0.248098766;0.055097475;-4.502906265;6.70305E-06;0.000165066
NFKBIZ;284.8499506;0.304885711;0.06770466;4.503171743;6.69467E-06;0.000165066
SBF2;256.2152836;0.291918418;0.064853818;4.501175529;6.75787E-06;0.000165695
PHF21A;440.0562671;0.282058085;0.062669513;4.500722465;6.77229E-06;0.000165695
PCED1B;159.096242;-0.343558491;0.076325175;-4.501247325;6.75558E-06;0.000165695
EIF4E3;252.4106048;0.305555696;0.06791113;4.499346392;6.81627E-06;0.000166414
PEX16;43.4848685;-0.32465775;0.072197752;-4.496784713;6.89888E-06;0.00016807
TSHZ3;71.27119226;0.392865308;0.087417068;4.494148764;6.98488E-06;0.000169801
NCALD;58.5250412;-0.404578909;0.090101679;-4.490248293;7.11402E-06;0.000172572
EEF2;6149.530408;-0.177541053;0.039554044;-4.488568917;7.17032E-06;0.000173568
SKAP1;171.5773632;-0.328405736;0.073186243;-4.487260452;7.21449E-06;0.000174192
DDX60L;636.6402162;0.366849922;0.081760243;4.486898629;7.22674E-06;0.000174192
CCT3;249.0029622;-0.216716348;0.048339186;-4.483243632;7.35169E-06;0.000176829
PITHD1;761.5070204;0.637825373;0.142326288;4.481430541;7.41444E-06;0.000177962
JHDM1D.AS1;98.50991862;0.603099995;0.134619;4.480051073;7.46252E-06;0.000178739
RP11.67L2.2;80.32899419;0.382722243;0.085587636;4.471700103;7.76002E-06;0.000185474
MLKL;217.1087167;0.272011093;0.060872094;4.468568004;7.8745E-06;0.000187816
GEMIN4;33.05104801;-0.398084181;0.089118377;-4.466914625;7.93558E-06;0.000188877
SEPT1;244.8503478;-0.284917078;0.063816069;-4.464660453;8.01958E-06;0.000190478
RGS19;783.4564254;0.225241538;0.050467861;4.463068869;8.07941E-06;0.000191499
BSG;911.5631242;0.583937808;0.130989255;4.457906161;8.27641E-06;0.00019576
TIMP2;1023.258395;0.316336391;0.070998033;4.455565562;8.36723E-06;0.000197498
RP11.701P16.5;81.60330398;0.605175827;0.135842033;4.454996842;8.38944E-06;0.000197612
NUP160;69.16427727;-0.347093634;0.0779215;-4.454401355;8.41276E-06;0.000197752
ILF3;322.0567408;-0.202831858;0.045568321;-4.451159343;8.54079E-06;0.000200348
ANKRD34B;21.65310299;0.850748599;0.191155059;4.450568058;8.56434E-06;0.000200487
SERINC5;58.06145781;-0.390930201;0.087858439;-4.449546375;8.60518E-06;0.000201029
POLR1D;581.7500368;0.407788392;0.091656545;4.449091902;8.62341E-06;0.000201042
DPCD;26.24261779;0.676279467;0.152063226;4.447357087;8.69333E-06;0.000202258
IFNGR2;871.4115455;0.312594544;0.070329274;4.444728695;8.80029E-06;0.000204328
APBB1;51.74903053;-0.433997837;0.097844355;-4.435594042;9.18187E-06;0.000212754
C12orf65;99.8670063;-0.286226455;0.064550292;-4.434162067;9.24311E-06;0.000213737
CARD6;79.65021005;0.356845438;0.080556657;4.429744888;9.43446E-06;0.00021772
ARPC5;1375.794714;0.227253808;0.051323357;4.427882748;9.51626E-06;0.000219163
